name,sep_fy17,sep_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,3455925.0,1790058.0,8457738.0,8909746.0,-452008.0,22909262.0,26.96
commonwealth_of_pa,72566586.0,65378524.0,125073984.0,120692828.0,4381156.0,95708016.0,56.65
other_governmental_units,,14288.0,,79117.0,-79117.0,18557000.0,0.0
pica_transfer,31799828.0,27410057.0,95230814.0,81878486.0,13352328.0,292049186.0,24.59
parking_receipts_ppa,2708536.0,2407470.0,14472889.0,11556746.0,2916143.0,25109111.0,36.56
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,110530875.0,97000397.0,243235425.0,223116923.0,20118502.0,456332575.0,34.77
