name,jul_fy21,jul_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,8075842.0,352276.0,8075842.0,352276.0,7723566.0,14906158.0,35.14
commonwealth_of_pa,6314411.0,4339258.0,6314411.0,4339258.0,1975153.0,216527589.0,2.83
other_governmental_units,,5200303.0,,5200303.0,-5200303.0,51773000.0,0.0
pica_transfer,52960886.0,32986794.0,52960886.0,32986794.0,19974092.0,417639114.0,11.25
total_revenue_other_govts,67351139.0,42878631.0,67351139.0,42878631.0,24472508.0,700845861.0,8.77
