name,dec_fy16,dec_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
us_government,1721752.0,2199287.0,15019796.0,12194929.0,2824867.0,14397204.0,51.06
commonwealth_of_pa,2558084.0,1793341.0,181486717.0,189872993.0,-8386276.0,30180283.0,85.74
other_governmental_units,13410.0,112300.0,92528.0,260841.0,-168313.0,19439472.0,0.47
pica_transfer,25575356.0,15299388.0,169069567.0,145327640.0,23741927.0,184429433.0,47.83
parking_receipts_ppa,2018675.0,5610042.0,21016495.0,23472525.0,-2456030.0,14683505.0,58.87
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,31887277.0,25014358.0,386685103.0,371128928.0,15556175.0,265129897.0,59.32
