name,nov_fy15,nov_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,2976216.0,3158914.0,15822584.0,18496096.0,-2673512.0,487347416.0,3.14,current
real_estate,4573381.0,2888944.0,23396102.0,17122221.0,6273881.0,20837898.0,52.89,prior
real_estate,7549597.0,6047858.0,39218686.0,35618317.0,3600369.0,508185314.0,7.16,total
wage_city,99705297.0,95248066.0,531927100.0,501349695.0,30577405.0,748486900.0,41.54,current
wage_city,118119.0,850727.0,1128988.0,2721301.0,-1592313.0,2121012.0,34.74,prior
wage_city,99823416.0,96098793.0,533056088.0,504070996.0,28985092.0,750607912.0,41.53,total
wage_pica,31749094.0,28293307.0,154340665.0,148214048.0,6126617.0,228212335.0,40.34,current
wage_pica,63923.0,224861.0,-40402.0,479103.0,-519505.0,1540402.0,-2.69,prior
wage_pica,31813017.0,28518168.0,154300263.0,148693151.0,5607112.0,229752737.0,40.18,total
wage,131636433.0,124616961.0,687356351.0,652764147.0,34592204.0,980360649.0,41.22,total
earnings_city,381976.0,370162.0,1152374.0,1228408.0,-76034.0,8847626.0,11.52,current
earnings_city,85225.0,53012.0,1188733.0,1214508.0,-25775.0,-188733.0,118.87,prior
earnings_city,467201.0,423174.0,2341107.0,2442916.0,-101809.0,8658893.0,21.28,total
earnings_pica,66547.0,99457.0,800466.0,774743.0,25723.0,699534.0,53.36,current
earnings_pica,169231.0,160326.0,399732.0,455204.0,-55472.0,3100268.0,11.42,prior
earnings_pica,235778.0,259783.0,1200198.0,1229947.0,-29749.0,3799802.0,24.0,total
earnings,702979.0,682957.0,3541305.0,3672863.0,-131558.0,12458695.0,22.13,total
net_profits_city,-143462.0,60203.0,-1109999.0,1727540.0,-2837539.0,19100999.0,-6.17,current
net_profits_city,563980.0,118568.0,2108926.0,924593.0,1184333.0,391074.0,84.36,prior
net_profits_city,420518.0,178771.0,998927.0,2652133.0,-1653206.0,19492073.0,4.87,total
net_profits_pica,513532.0,49698.0,1797752.0,460138.0,1337614.0,12395248.0,12.67,current
net_profits_pica,-415842.0,60966.0,-1072722.0,80873.0,-1153595.0,1572722.0,-214.54,prior
net_profits_pica,97690.0,110664.0,725030.0,541011.0,184019.0,13967970.0,4.93,total
net_profits,518208.0,289435.0,1723957.0,3193144.0,-1469187.0,33460043.0,4.9,total
wage_earnings_net_profits,132857620.0,125589353.0,692621613.0,659630154.0,32991459.0,1026279387.0,40.29,total
wage_earnings_net_profits_pica,32146485.0,28888615.0,156225491.0,150464109.0,5761382.0,247520509.0,38.69,total
wage_earnings_net_profits_city,100711135.0,96700738.0,536396122.0,509166045.0,27230077.0,778758878.0,40.79,total
birt,-757359.0,-6405503.0,19581474.0,26870126.0,-7288652.0,,,current
birt,1486283.0,3139020.0,11906622.0,16388758.0,-4482136.0,,,prior
birt,728924.0,-3266483.0,31488096.0,43258884.0,-11770788.0,421704904.0,6.95,total
sales,11594560.0,22679439.0,77448873.0,110496196.0,-33047323.0,77194127.0,50.08,total
amusement,1146629.0,1120451.0,8838203.0,8726772.0,111431.0,12035797.0,42.34,total
tobacco,-298.0,424.0,57485.0,9538.0,47947.0,579515.0,9.02,total
parking,6571145.0,6726719.0,31560752.0,30901816.0,658936.0,43780248.0,41.89,total
valet,127382.0,114536.0,678475.0,602438.0,76037.0,846525.0,44.49,total
real_estate_transfer,13871369.0,11699988.0,79867198.0,64779153.0,15088045.0,96732802.0,45.22,total
outdoor_ads,215981.0,219594.0,1133764.0,1155769.0,-22005.0,1616236.0,41.23,total
other_taxes,-396.0,1194.0,430759.0,564631.0,-133872.0,-347759.0,518.99,total
all_taxes,142516028.0,142044458.0,807118413.0,805279559.0,1838854.0,1941086587.0,29.37,total
