name,feb_fy18,feb_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
us_government,596444.0,5454418.0,20946590.0,22984568.0,-2037978.0,14629410.0,58.88
commonwealth_of_pa,5524093.0,2680869.0,212410055.0,189270637.0,23139418.0,8980945.0,95.94
other_governmental_units,4550146.0,4500000.0,4794214.0,4575000.0,219214.0,13787786.0,25.8
pica_transfer,29240755.0,25496395.0,256639838.0,240698951.0,15940887.0,162573162.0,61.22
parking_receipts_ppa,1146606.0,,25664246.0,25896406.0,-232160.0,13097754.0,66.21
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,41058044.0,38131682.0,520454943.0,483425562.0,37029381.0,215069057.0,70.76
