name,feb_fy17,feb_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,276787355.0,317016866.0,353377221.0,387410548.0,-34033327.0,184520779.0,65.7,current
real_estate,4373347.0,4649613.0,28758689.0,35113433.0,-6354744.0,28264311.0,50.43,prior
real_estate,281160702.0,321666479.0,382135910.0,422523981.0,-40388071.0,212785090.0,64.23,total
wage_city,106888992.0,118831812.0,940695425.0,900002734.0,40692691.0,467903575.0,66.78,current
wage_city,24218.0,1979648.0,2737675.0,6710862.0,-3973187.0,3295325.0,45.38,prior
wage_city,106913210.0,120811460.0,943433100.0,906713596.0,36719504.0,471198900.0,66.69,total
wage_pica,32487464.0,35937495.0,285911658.0,272181692.0,13729966.0,138657342.0,67.34,current
wage_pica,22511.0,598691.0,847229.0,2029519.0,-1182290.0,2152771.0,28.24,prior
wage_pica,32509975.0,36536186.0,286758887.0,274211211.0,12547676.0,140810113.0,67.07,total
wage,139423185.0,157347646.0,1230191987.0,1180924807.0,49267180.0,612009013.0,66.78,total
earnings_city,433709.0,619401.0,2334363.0,2467311.0,-132948.0,8665637.0,21.22,current
earnings_city,412488.0,254144.0,4337512.0,1855323.0,2482189.0,-3337512.0,433.75,prior
earnings_city,846197.0,873545.0,6671875.0,4322634.0,2349241.0,5328125.0,55.6,total
earnings_pica,220760.0,311611.0,1188201.0,1241266.0,-53065.0,311799.0,79.21,current
earnings_pica,210447.0,127856.0,2208303.0,933385.0,1274918.0,1291697.0,63.09,prior
earnings_pica,431207.0,439467.0,3396504.0,2174651.0,1221853.0,1603496.0,67.93,total
earnings,1277404.0,1313012.0,10068379.0,6497285.0,3571094.0,6931621.0,59.23,total
net_profits_city,121100.0,288473.0,1246133.0,1719268.0,-473135.0,20171867.0,5.82,current
net_profits_city,-22125.0,151340.0,2460792.0,1720863.0,739929.0,622208.0,79.82,prior
net_profits_city,98975.0,439813.0,3706925.0,3440131.0,266794.0,20794075.0,15.13,total
net_profits_pica,113349.0,273962.0,1159775.0,1632786.0,-473011.0,17864225.0,6.1,current
net_profits_pica,-20106.0,143727.0,2289329.0,1634300.0,655029.0,-1289329.0,228.93,prior
net_profits_pica,93243.0,417689.0,3449104.0,3267086.0,182018.0,16574896.0,17.22,total
net_profits,192218.0,857502.0,7156029.0,6707217.0,448812.0,37368971.0,16.07,total
wage_earnings_net_profits,140892807.0,159518160.0,1247416395.0,1194129309.0,53287086.0,656309605.0,65.52,total
wage_earnings_net_profits_pica,33034425.0,37393342.0,293604495.0,279652948.0,13951547.0,158988505.0,64.87,total
wage_earnings_net_profits_city,107858382.0,122124818.0,953811900.0,914476361.0,39335539.0,497321100.0,65.73,total
birt,-2505763.0,10106936.0,51827328.0,62813052.0,-10985724.0,,,current
birt,2720348.0,3495252.0,15322502.0,20670278.0,-5347776.0,,,prior
birt,214585.0,13602188.0,67149830.0,83483330.0,-16333500.0,378892170.0,15.05,total
sales,15172663.0,13742796.0,127966206.0,113987211.0,13978995.0,54202794.0,70.25,total
amusement,1243019.0,1289824.0,13953997.0,12383018.0,1570979.0,6589003.0,67.93,total
tobacco,349271.0,450247.0,832400.0,746548.0,85852.0,-75400.0,109.96,total
parking,6874303.0,7274736.0,62186823.0,59279508.0,2907315.0,31341177.0,66.49,total
valet,74356.0,93694.0,919941.0,932377.0,-12436.0,680059.0,57.5,total
real_estate_transfer,14239981.0,18078276.0,155615544.0,158361461.0,-2745917.0,93992456.0,62.34,total
outdoor_ads,312851.0,284037.0,1824897.0,1919409.0,-94512.0,1231103.0,59.72,total
soda,5931239.0,,5931240.0,,5931240.0,40251760.0,12.84,total
other_taxes,,-1079.0,72241.0,35790.0,36451.0,-22241.0,144.48,total
all_taxes,433431352.0,498606016.0,1772400929.0,1768128994.0,4271935.0,1317189071.0,57.37,total
