name,jul_fy18,jul_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
us_government,7679222.0,1718120.0,7679222.0,1718120.0,5961102.0,27896778.0,21.59
commonwealth_of_pa,11587258.0,2232735.0,11587258.0,2232735.0,9354523.0,209803742.0,5.23
other_governmental_units,118699.0,,118699.0,,118699.0,18463301.0,0.64
pica_transfer,25752812.0,29662702.0,25752812.0,29662702.0,-3909890.0,393460188.0,6.14
parking_receipts_ppa,3556352.0,7998558.0,3556352.0,7998558.0,-4442206.0,35205648.0,9.17
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,48694343.0,41612115.0,48694343.0,41612115.0,7082228.0,686829657.0,6.62
