name,oct_fy17,oct_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3386010.0,3314754.0,16112595.0,16226387.0,-113792.0,521785405.0,3.0,current
real_estate,3599381.0,4990642.0,14221209.0,18033912.0,-3812703.0,42801791.0,24.94,prior
real_estate,6985391.0,8305396.0,30333804.0,34260299.0,-3926495.0,564587196.0,5.1,total
wage_city,123967046.0,106986069.0,470639197.0,436021599.0,34617598.0,937959803.0,33.41,current
wage_city,109633.0,1276263.0,1939087.0,856831.0,1082256.0,4093913.0,32.14,prior
wage_city,124076679.0,108262332.0,472578284.0,436878430.0,35699854.0,942053716.0,33.41,total
wage_pica,37490508.0,31897535.0,142332204.0,128058388.0,14273816.0,282236796.0,33.52,current
wage_pica,33156.0,41857.0,586425.0,108980.0,477445.0,2413575.0,19.55,prior
wage_pica,37523664.0,31939392.0,142918629.0,128167368.0,14751261.0,284650371.0,33.43,total
wage,161600343.0,140201724.0,615496913.0,565045798.0,50451115.0,1226704087.0,33.41,total
earnings_city,219552.0,363324.0,931591.0,927579.0,4012.0,10068409.0,8.47,current
earnings_city,484286.0,520735.0,1589666.0,1222789.0,366877.0,-589666.0,158.97,prior
earnings_city,703838.0,884059.0,2521257.0,2150368.0,370889.0,9478743.0,21.01,total
earnings_pica,110453.0,327832.0,468668.0,792452.0,-323784.0,1031332.0,31.24,current
earnings_pica,243637.0,71534.0,799737.0,254856.0,544881.0,2700263.0,22.85,prior
earnings_pica,354090.0,399366.0,1268405.0,1047308.0,221097.0,3731595.0,25.37,total
earnings,1057928.0,1283425.0,3789662.0,3197676.0,591986.0,13210338.0,22.29,total
net_profits_city,142454.0,426846.0,448991.0,-28697.0,477688.0,20969009.0,2.1,current
net_profits_city,821234.0,417264.0,1963397.0,946582.0,1016815.0,1119603.0,63.68,prior
net_profits_city,963688.0,844110.0,2412388.0,917885.0,1494503.0,22088612.0,9.85,total
net_profits_pica,135288.0,971317.0,426406.0,2847648.0,-2421242.0,18597594.0,2.24,current
net_profits_pica,779924.0,-98546.0,1864634.0,-208237.0,2072871.0,-864634.0,186.46,prior
net_profits_pica,915212.0,872771.0,2291040.0,2639411.0,-348371.0,17732960.0,11.44,total
net_profits,1878900.0,1716881.0,4703428.0,3557296.0,1146132.0,39821572.0,10.56,total
wage_earnings_net_profits,164537171.0,143202030.0,623990003.0,571800770.0,52189233.0,1279735997.0,32.78,total
wage_earnings_net_profits_pica,38792966.0,33211529.0,146478074.0,131854087.0,14623987.0,306114926.0,32.36,total
wage_earnings_net_profits_city,125744205.0,109990501.0,477511929.0,439946683.0,37565246.0,973621071.0,32.91,total
birt,14341553.0,19962537.0,28556658.0,40263213.0,-11706555.0,,,current
birt,1902260.0,2191694.0,7137961.0,9237404.0,-2099443.0,,,prior
birt,16243813.0,22154231.0,35694619.0,49500617.0,-13805998.0,410347381.0,8.0,total
sales,11826751.0,10951664.0,75838579.0,64651219.0,11187360.0,106330421.0,41.63,total
amusement,1610223.0,754043.0,9046666.0,7780561.0,1266105.0,11496334.0,44.04,total
tobacco,1263.0,1200.0,2979.0,12913.0,-9934.0,754021.0,0.39,total
parking,8258694.0,7194903.0,31477873.0,29634269.0,1843604.0,62050127.0,33.66,total
valet,115975.0,107464.0,489224.0,487889.0,1335.0,1110776.0,30.58,total
real_estate_transfer,22781580.0,20120208.0,85137513.0,86971641.0,-1834128.0,164470487.0,34.11,total
outdoor_ads,221378.0,207367.0,921026.0,996516.0,-75490.0,2134974.0,30.14,total
other_taxes,6000.0,-24896.0,8229.0,-7431.0,15660.0,41771.0,16.46,total
all_taxes,193795273.0,179762081.0,746462441.0,714235176.0,32227265.0,2343127559.0,24.16,total
