name,feb_fy15,feb_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
us_government,1968298.0,1705968.0,16185759.0,18243825.0,-2058066.0,16052241.0,50.21
commonwealth_of_pa,4142916.0,2040702.0,198751218.0,247218412.0,-48467194.0,12890782.0,93.91
other_governmental_units,4500000.0,4500000.0,4760841.0,5150880.0,-390039.0,15246159.0,23.8
pica_transfer,32600438.0,28155674.0,214673734.0,203156439.0,11517295.0,123351266.0,63.51
parking_receipts_ppa,1219758.0,1215114.0,24692283.0,24480442.0,211841.0,10307717.0,70.55
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,44431410.0,37617458.0,459063835.0,498249998.0,-39186163.0,179848165.0,71.85
