0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 05 Year End Actual,FY 06 Year End Actual,FY 07 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Clerk of Quarter Sessions,,,,,,,,,,,
Full-Time Positions,110,113,114,121,117,4,121,121,117,4,4
Class 100 Total Oblig./Approp.,"4,334,899","4,219,043","4,642,061","4,930,938","4,930,938",0,"4,981,615","4,930,938","4,930,938","50,677",0
Class 100 Overtime Oblig./Approp.,"103,277","167,660","283,501","175,000","273,562","(98,562)","175,000","175,000","273,562","(98,562)","(98,562)"
District Attorney,,,,,,,,,,,
Full-Time Positions,434,424,424,436,437,(1),442,436,437,5,(1)
Class 100 Total Oblig./Approp.,"27,439,298","26,188,801","27,643,334","29,604,687","29,475,410","129,277","29,604,687","29,604,687","29,604,687",0,0
Class 100 Overtime Oblig./Approp.,"209,313","123,693","75,652","90,268","155,938","(65,670)","90,268","90,268","155,938","(65,670)","(65,670)"
Fairmount Park,,,,,,,,,,,
Full-Time Positions,182,157,155,169,156,13,169,169,156,13,13
Class 100 Total Oblig./Approp.,"9,465,641","8,429,422","8,641,840","9,170,560","9,255,784","(85,224)","9,398,560","9,170,560","9,255,784","142,776","(85,224)"
Class 100 Overtime Oblig./Approp.,"1,340,645","1,430,753","1,545,224","1,638,689","1,762,220","(123,531)","1,433,345","1,638,689","1,762,220","(328,875)","(123,531)"
Finance,,,,,,,,,,,
Full-Time Positions (1),152,164,164,169,170,(1),169,169,170,(1),(1)
Class 100 Total Oblig./Approp.,"8,537,269","8,617,260","9,455,980","9,456,876","9,456,876",0,"9,603,520","9,456,876","9,456,876","146,644",o
Class 100 Overtime Oblig./Approp.,"36,423","44,495","16,457","42,672","16,611","26,061","42,672","42,672","16,611","26,061","26,061"
Fire,,,,,,,,,,,
Full-Time Positions,"2,251","2,270","2,399","2,425","2,326",99,"2,425","2,425","2,326",99,99
Class 100 Total Oblig./Approp.,"152,199,383","153,483,021","175,768,344","169,581,307","169,581,307",0,"170,848,769","169,581,307","169,581,307","1,267,462",0
Class 100 Overtime Oblig./Approp.,"21,560,544","25,351,516","30,894,895","23,212,842","23,695,521","(482,679)","22,899,000","23,212,842","23,695,521","(796,521)","(482,679)"
First Judicial District,,,,,,,,,,,
Full-Time Positions,"2,004","1,936","1,928","1,920","1,970",(50),"1,920","1,920","1,970",(50),(50)
Class 100 Total Oblig./Approp.,"90,183,427","87,149,961","88,826,470","90,215,623","90,041,293","174,330","88,948,623","90,215,623","90,215,623","(1,267,000)",0
Class 100 Overtime Oblig./Approp.,"210,299","344,184","392,191","362,494","201,814","160,680","362,494","362,494","201,814","160,680","160,680"
Traffic Court,,,,,,,,,,,
Full-Time Positions,115,102,120,134,129,5,134,134,129,5,5
Class 100 Total Oblig./Approp.,"4,129,697","4,015,574","4,265,777","5,038,711","4,631,005","407,706","5,038,711","5,038,711","5,038,711",o,o
Class 100 Overtime Oblig./Approp.,"1,203","1,729",442,"1,500",513,987,"1,500","1,500",513,987,987
