0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Fleet Services,,,,,,,,,,,
Full-Time Positions,282,268,266,261,261,0,318,318,275,43,43
Class 100 Total Oblig./Approp.,"18,563,332","17,982,245","18,075,554","14,429,309","14,429,309",0,"20,534,432","20,534,432","19,540,916","993,516","993,516"
Class 100 Overtime Oblig./Approp.,"1,679,115","1,413,920","1,986,852","1,989,824","2,566,993","(577,169)","1,553,098","2,653,098","3,153,098","(1,600,000)","(500,000)"
Free Library,,,,,,,,,,,
Full-Time Positions,677,634,618,693,693,0,961,831,831,130,0
Class 100 Total Oblig./Approp.,"41,221,658","36,056,416","37,737,788","28,231,411","28,231,411",0,"50,911,555","50,496,555","50,503,478","408,077","(6,923)"
Class 100 Overtime Oblig./Approp.,"1,646,292","325,884","587,443","1,203,750","722,180","481,570","1,605,000","1,605,000","1,605,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,34,32,32,29,29,0,33,33,33,0,0
Class 100 Total Oblig./Approp.,"2,286,672","2,267,083","2,286,733","1,707,547","1,707,547",0,"2,502,372","2,502,372","2,504,245","(1,873)","(1,873)"
Class 100 Overtime Oblig./Approp.,23,"4,569",0,0,"20,970","(20,970)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,437,492,492,393,393,0,535,535,535,0,0
Class 100 Total Oblig./Approp. *,"22,404,173","28,025,714","28,716,422","17,762,312","17,762,312",0,"34,466,970","35,030,630","35,060,204","(593,234)","(29,574)"
Class 100 Overtime Oblig./Approp. *,"2,993,692","3,324,490","4,080,821","2,518,224","2,543,183","(24,959)","3,357,632","3,357,632","3,357,632",0,0
Labor,,,,,,,,,,,
Full-Time Positions,27,26,28,35,35,0,44,44,44,0,0
Class 100 Total Oblig./Approp.,"1,945,732","1,991,712","2,246,006","1,913,424","1,913,424",0,"3,460,299","3,460,299","3,472,095","(11,796)","(11,796)"
Class 100 Overtime Oblig./Approp.,986,59,"8,366","29,871","1,265","28,606","39,828","39,828","4,828","35,000","35,000"
Law,,,,,,,,,,,
Full-Time Positions,130,127,175,192,192,0,198,198,198,0,0
Class 100 Total Oblig./Approp.,"9,733,493","9,640,029","13,550,079","10,835,316","10,835,316",0,"15,705,718","15,705,718","15,824,034","(118,316)","(118,316)"
Class 100 Overtime Oblig./Approp.,6,"6,050",0,0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,394,372,346,343,343,0,425,425,425,0,0
Class 100 Total Oblig./Approp.,"24,986,716","24,779,256","24,295,338","17,137,118","17,137,118",0,"26,670,602","26,670,602","26,693,387","(22,785)","(22,785)"
Class 100 Overtime Oblig./Approp.,"1,408,144","845,614","1,342,903","755,255","846,346","(91,091)","1,007,007","1,007,007","1,087,007","(80,000)","(80,000)"
