0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Recreation,,,,,,,,,,,
Full-Time Positions,460,464,443,474,435,39,474,474,435,39,39
Class 100 Total Oblig./Approp.,"29,330,231","31,270,256","30,243,069","27,714,571","27,714,571",0,"27,714,571","27,714,571","27,714,571",o,0
Class 100 Overtime Oblig./Approp.,"1,310,697","1,148,536","875,993","845,207","917,592","(72,385)","866,309","845,207","917,592","(51,283)","(72,385)"
Register of Wills,,,,,,,,,,,
Full-Time Positions,69,68,65,66,63,3,64,66,63,1,3
Class 100 Total Oblig./Approp.,"3,315,520","3,418,493","3,503,057","3,290,582","3,290,582",0,"3,290,582","3,290,582","3,290,582",0,o
Class 100 Overtime Oblig./Approp.,o,o,0,0,o,o,o,o,o,o,o
Revenue,,,,,,,,,,,
Full-Time Positions,237,252,256,268,250,18,263,268,250,13,18
Class 100 Total Oblig./Approp.,"12,073,257","11,906,910","12,451,073","12,823,246","12,823,246",o,"12,498,246","12,823,246","12,823,246","(325,000)",o
Class 100 Overtime Oblig./Approp.,"830,402","737,688","472,850","625,087","230,593","394,494","737,162","625,087","230,593","506,569","394,494"
Sheriff,,,,,,,,,,,
Full-Time Positions,241,238,238,245,230,15,245,245,230,15,15
Class 100 Total Oblig./Approp.,"13,856,672","14,387,582","14,794,796","14,522,083","14,522,083",0,"12,322,083","14,522,083","14,522,083","(2,200,000)",o
Class 100 Overtime Oblig./Approp.,"2,938,803","3,190,678","3,344,634","1,276,185","3,289,703","(2,013,518)","1,276,185","1,276,185","3,289,703","(2,013,518)","(2,013,518)"
Streets,,,,,,,,,,,
Full-Time Positions,592,591,536,569,523,46,569,569,523,46,46
Class 100 Total Oblig./Approp.,"20,364,041","20,463,560","25,605,972","36,219,831","36,219,831",o,"22,063,653","36,219,831","36,219,831","(14,156,178)",o
Class 100 Overtime Oblig./Approp.,"1,413,275","2,583,126","2,669,291","3,041,700","2,969,142","72,558","2,018,822","3,041,700","2,969,142","(950,320)","72,558"
Engineering Design & Surveying,,,,,,,,,,,
Full-Time Positions,95,94,88,92,85,7,92,92,85,7,7
Class 100 Total Oblig./Approp.,"5,351,637","5,297,857","5,281,868","4,840,817","4,840,817",o,"4,840,817","4,840,817","4,840,817",o,o
Class 100 Overtime Oblig./Approp.,"321,379","290,806","67,014","242,202","206,865","35,337","148,801","242,202","206,865","(58,064)","35,337"
