sector,num_records,total,parent_sector
General Commercial,58.0,1332236.0,Non-Residential
"Office Buildings, Hotels and Garages",7.0,3226767.0,Non-Residential
Industrial,31.0,495609.0,Non-Residential
Other Non-Residential,163.0,1316839.0,Non-Residential
Total Non-Residential,259.0,6371451.0,Non-Residential
Condos,182.0,1944755.0,Residential
Apartments,16.0,796157.0,Residential
Single/Multi-family Homes,3597.0,12371652.0,Residential
Total Residential,3795.0,15112564.0,Residential
Unclassified,92.0,,
Total,4146.0,21484015.0,
