sector,num_records,total,parent_sector
General Commercial,59.0,1442937.0,Non-Residential
"Office Buildings, Hotels and Garages",7.0,2118678.0,Non-Residential
Industrial,41.0,1148593.0,Non-Residential
Other Non-Residential,67.0,262651.0,Non-Residential
Total Non-Residential,174.0,4972858.0,Non-Residential
Condos,191.0,2520132.0,Residential
Apartments,20.0,3798222.0,Residential
Single/Multi-family Homes,2692.0,8304251.0,Residential
Total Residential,2903.0,14622604.0,Residential
Unclassified,46.0,,
Total,3123.0,19595462.0,
