sector,num_records,total,parent_sector
General Commercial,35.0,680673.0,Non-Residential
"Office Buildings, Hotels and Garages",3.0,461542.0,Non-Residential
Industrial,22.0,813642.0,Non-Residential
Other Non-Residential,102.0,994233.0,Non-Residential
Total Non-Residential,162.0,2950091.0,Non-Residential
Condos,144.0,1548155.0,Residential
Apartments,15.0,739335.0,Residential
Single/Multi-family Homes,2389.0,9550932.0,Residential
Total Residential,2548.0,11838423.0,Residential
Unclassified,48.0,10817.0,
Total,2758.0,14799331.0,
