sector,num_records,total,parent_sector
General Commercial,32.0,1908721.0,Non-Residential
"Office Buildings, Hotels and Garages",4.0,277500.0,Non-Residential
Industrial,30.0,977383.0,Non-Residential
Other Non-Residential,35.0,209700.0,Non-Residential
Total Non-Residential,101.0,3373303.0,Non-Residential
Condos,116.0,1449223.0,Residential
Apartments,18.0,5205369.0,Residential
Single/Multi-family Homes,2080.0,6016876.0,Residential
Total Residential,2214.0,12671468.0,Residential
Unclassified,37.0,4692.0,
Total,2352.0,16049463.0,
