sector,num_records,total,parent_sector
General Commercial,42.0,2555429.0,Non-Residential
"Office Buildings, Hotels and Garages",15.0,4725646.0,Non-Residential
Industrial,35.0,1942522.0,Non-Residential
Other Non-Residential,115.0,942383.0,Non-Residential
Total Non-Residential,207.0,10165979.0,Non-Residential
Condos,213.0,2824565.0,Residential
Apartments,29.0,2458871.0,Residential
Single/Multi-family Homes,2946.0,15000893.0,Residential
Total Residential,3188.0,20284329.0,Residential
Unclassified,75.0,0.0,
Total,3470.0,30450309.0,
