sector,num_records,total,parent_sector
General Commercial,39.0,752340.0,Non-Residential
"Office Buildings, Hotels and Garages",15.0,7737767.0,Non-Residential
Industrial,32.0,473413.0,Non-Residential
Other Non-Residential,80.0,1847451.0,Non-Residential
Total Non-Residential,166.0,10810970.0,Non-Residential
Condos,179.0,1742667.0,Residential
Apartments,27.0,1483533.0,Residential
Single/Multi-family Homes,2151.0,7631998.0,Residential
Total Residential,2357.0,10858198.0,Residential
Unclassified,33.0,2051.0,
Total,2556.0,21671219.0,
