sector,num_records,total,parent_sector
General Commercial,28.0,489293.0,Non-Residential
"Office Buildings, Hotels and Garages",6.0,836926.0,Non-Residential
Industrial,20.0,444398.0,Non-Residential
Other Non-Residential,97.0,2768255.0,Non-Residential
Total Non-Residential,151.0,4538871.0,Non-Residential
Condos,124.0,1557195.0,Residential
Apartments,29.0,3247009.0,Residential
Single/Multi-family Homes,2050.0,10059943.0,Residential
Total Residential,2203.0,14864147.0,Residential
Unclassified,69.0,,
Total,2423.0,19403018.0,
