sector,num_records,total,parent_sector
General Commercial,21.0,408057.0,Non-Residential
"Office Buildings, Hotels and Garages",2.0,278553.0,Non-Residential
Industrial,16.0,1013722.0,Non-Residential
Other Non-Residential,91.0,3722637.0,Non-Residential
Total Non-Residential,130.0,5422969.0,Non-Residential
Condos,180.0,1560557.0,Residential
Apartments,14.0,2035007.0,Residential
Single/Multi-family Homes,2524.0,15329520.0,Residential
Total Residential,2718.0,18925084.0,Residential
Unclassified,56.0,1313.0,
Total,2904.0,24349366.0,
