sector,num_records,total,parent_sector
General Commercial,38.0,583213.0,Non-Residential
"Office Buildings, Hotels and Garages",10.0,1756841.0,Non-Residential
Industrial,40.0,1423999.0,Non-Residential
Other Non-Residential,111.0,2973341.0,Non-Residential
Total Non-Residential,199.0,6737394.0,Non-Residential
Condos,237.0,3175195.0,Residential
Apartments,23.0,714584.0,Residential
Single/Multi-family Homes,2830.0,12889397.0,Residential
Total Residential,3090.0,16779177.0,Residential
Unclassified,56.0,,
Total,3345.0,23516571.0,
