name,jul_fy23,jul_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
us_government,1057689.0,447656.0,1057689.0,447656.0,610033.0,54836311.0,1.89
commonwealth_of_pa,247596.0,424039.0,247596.0,424039.0,-176443.0,231251404.0,0.11
other_governmental_units,10245115.0,9500505.0,10245115.0,9500505.0,744610.0,54819885.0,15.75
pica_transfer,83129458.0,19507316.0,83129458.0,19507316.0,63622142.0,477792542.0,14.82
total_revenue_other_govts,94679858.0,29879516.0,94679858.0,29879516.0,64800342.0,818700142.0,10.37
