name,apr_fy22,apr_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,1281173.0,4417965.0,21253926.0,30631183.0,-9377257.0,67231074.0,24.02
commonwealth_of_pa,342776.0,3207152.0,210571284.0,221268590.0,-10697306.0,15156716.0,93.29
other_governmental_units,4500000.0,4500000.0,36750452.0,22346696.0,14403756.0,27351548.0,57.33
pica_transfer,59603060.0,52183759.0,445995095.0,410444765.0,35550330.0,63853905.0,87.48
total_revenue_other_govts,65727009.0,64308876.0,714570757.0,684691234.0,29879523.0,173593243.0,80.45
