name,nov_fy22,nov_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,50002.0,8039083.0,7083767.0,24685063.0,-17601296.0,80401233.0,8.1
commonwealth_of_pa,43171079.0,10925761.0,183716190.0,149746515.0,33969675.0,45543810.0,80.13
other_governmental_units,,,15678020.0,,15678020.0,48423980.0,24.46
pica_transfer,,62086671.0,139732049.0,208574172.0,-68842124.0,355779951.0,28.2
total_revenue_other_govts,43221081.0,81051516.0,346210026.0,383005750.0,-36795724.0,530148974.0,39.51
