name,oct_fy20,oct_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
us_government,394405.0,3196229.0,2096532.0,9473256.0,-7376724.0,43685468.0,4.58
commonwealth_of_pa,48411764.0,49852356.0,184750125.0,178102124.0,6648001.0,50927875.0,78.39
other_governmental_units,,,,,,18582000.0,0.0
pica_transfer,45840711.0,36751662.0,156229745.0,137831419.0,18398326.0,343060255.0,31.29
parking_receipts_ppa,3694902.0,822636.0,21038009.0,13322028.0,7715981.0,24801991.0,45.89
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,98341782.0,90622883.0,364114411.0,338728827.0,25385584.0,483057589.0,42.98
