name,jul_fy19,jul_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5115120.0,5518617.0,5115120.0,5518617.0,-403497.0,625632880.0,0.81,current
real_estate,3556837.0,3642313.0,3556837.0,3642313.0,-85476.0,34775163.0,9.28,prior
real_estate,8671957.0,9160930.0,8671957.0,9160930.0,-488973.0,660408043.0,1.3,total
wage_city,140407318.0,134885753.0,140407318.0,134885753.0,5521565.0,1429405682.0,8.94,current
wage_city,811131.0,1575160.0,811131.0,1575160.0,-764029.0,1438869.0,36.05,prior
wage_city,141218449.0,136460913.0,141218449.0,136460913.0,4757536.0,1430844551.0,8.98,total
wage_pica,42905444.0,40997246.0,42905444.0,40997246.0,1908198.0,435449556.0,8.97,current
wage_pica,247867.0,478990.0,247867.0,478990.0,-231123.0,1252133.0,16.52,prior
wage_pica,43153311.0,41476236.0,43153311.0,41476236.0,1677075.0,436701689.0,8.99,total
wage,184371760.0,177937149.0,184371760.0,177937149.0,6434611.0,1867546240.0,8.99,total
earnings_city,366964.0,340779.0,366964.0,340779.0,26185.0,10133036.0,3.49,current
earnings_city,399851.0,355980.0,399851.0,355980.0,43871.0,5600149.0,6.66,prior
earnings_city,766815.0,696759.0,766815.0,696759.0,70056.0,15733185.0,4.65,total
earnings_pica,193728.0,173459.0,193728.0,173459.0,20269.0,4806272.0,3.87,current
earnings_pica,211090.0,181195.0,211090.0,181195.0,29895.0,2788910.0,7.04,prior
earnings_pica,404818.0,354654.0,404818.0,354654.0,50164.0,7595182.0,5.06,total
earnings,1171633.0,1051413.0,1171633.0,1051413.0,120220.0,23328367.0,4.78,total
net_profits_city,165110.0,151585.0,165110.0,151585.0,13525.0,28504890.0,0.58,current
net_profits_city,606406.0,395314.0,606406.0,395314.0,211092.0,1893594.0,24.26,prior
net_profits_city,771516.0,546899.0,771516.0,546899.0,224617.0,30398484.0,2.48,total
net_profits_pica,155491.0,140993.0,155491.0,140993.0,14498.0,24510509.0,0.63,current
net_profits_pica,571081.0,367693.0,571081.0,367693.0,203388.0,2928919.0,16.32,prior
net_profits_pica,726572.0,508686.0,726572.0,508686.0,217886.0,27439428.0,2.58,total
net_profits,1498088.0,1055585.0,1498088.0,1055585.0,442503.0,57837912.0,2.52,total
wage_earnings_net_profits,187041481.0,180044147.0,187041481.0,180044147.0,6997334.0,1948712519.0,8.76,total
wage_earnings_net_profits_pica,44284701.0,42339576.0,44284701.0,42339576.0,1945125.0,471736299.0,8.58,total
wage_earnings_net_profits_city,142756780.0,137704571.0,142756780.0,137704571.0,5052209.0,1476976220.0,8.81,total
birt,3582344.0,3815762.0,3582344.0,3815762.0,-233418.0,,,current
birt,2017352.0,3072896.0,2017352.0,3072896.0,-1055544.0,,,prior
birt,5599696.0,6888658.0,5599696.0,6888658.0,-1288962.0,419592304.0,1.32,total
sales,25937641.0,28597269.0,25937641.0,28597269.0,-2659628.0,190586359.0,11.98,total
amusement,2481329.0,1817995.0,2481329.0,1817995.0,663334.0,19731671.0,11.17,total
tobacco,3947.0,17986.0,3947.0,17986.0,-14039.0,779053.0,0.5,total
parking,8057819.0,7919240.0,8057819.0,7919240.0,138579.0,91015181.0,8.13,total
valet,149240.0,126960.0,149240.0,126960.0,22280.0,1450760.0,9.33,total
real_estate_transfer,37964424.0,38343744.0,37964424.0,38343744.0,-379320.0,272533576.0,12.23,total
outdoor_ads,247568.0,270961.0,247568.0,270961.0,-23393.0,2613432.0,8.65,total
soda,7078382.0,6920394.0,7078382.0,6920394.0,157988.0,,,current
soda,8542.0,,8542.0,,8542.0,,,prior
soda,7086924.0,6920394.0,7086924.0,6920394.0,166530.0,70951076.0,9.08,total
other_taxes,100.0,,100.0,,100.0,82900.0,0.12,total
all_taxes,238957425.0,237768708.0,238957425.0,237768708.0,1188717.0,3206720575.0,6.93,total
