name,dec_fy21,dec_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,23538072.0,29387317.0,55419542.0,52034026.0,3385516.0,592054458.0,8.56,current
real_estate,1531693.0,2495937.0,11401505.0,16789140.0,-5387635.0,25412495.0,30.97,prior
real_estate,25069765.0,31883254.0,66821048.0,68823166.0,-2002119.0,617466952.0,9.77,total
wage_city,110850792.0,124719609.0,717858722.0,796987386.0,-79128664.0,785840278.0,47.74,current
wage_city,532646.0,-195311.0,1540033.0,-1171750.0,2711783.0,859967.0,64.17,prior
wage_city,111383438.0,124524299.0,719398755.0,795815636.0,-76416881.0,786700245.0,47.77,total
wage_pica,35268061.0,38908535.0,228238610.0,248548092.0,-20309482.0,245726390.0,48.16,current
wage_pica,169356.0,-52027.0,500055.0,-340081.0,840136.0,499945.0,50.01,prior
wage_pica,35437417.0,38856508.0,228738665.0,248208011.0,-19469346.0,246226335.0,48.16,total
wage,146820855.0,163380806.0,948137420.0,1044023647.0,-95886227.0,1032926580.0,47.86,total
earnings_city,285963.0,140035.0,5184402.0,1478111.0,3706291.0,4815598.0,51.84,current
earnings_city,176641.0,365860.0,1591246.0,2258343.0,-667097.0,1408754.0,53.04,prior
earnings_city,462605.0,505895.0,6775648.0,3736454.0,3039194.0,6224352.0,52.12,total
earnings_pica,157025.0,74541.0,2821154.0,786935.0,2034220.0,1178846.0,70.53,current
earnings_pica,96016.0,194747.0,865291.0,1214989.0,-349698.0,1634709.0,34.61,prior
earnings_pica,253040.0,269288.0,3686445.0,2001924.0,1684521.0,2813555.0,56.71,total
earnings,715645.0,775183.0,10462094.0,5738378.0,4723715.0,9037906.0,53.65,total
net_profits_city,586396.0,368489.0,21286285.0,1583925.0,19702360.0,3877715.0,84.59,current
net_profits_city,271011.0,651803.0,1026765.0,4871693.0,-3844928.0,3673235.0,21.85,prior
net_profits_city,857407.0,1020292.0,22313050.0,6455617.0,15857432.0,7550950.0,74.72,total
net_profits_pica,538041.0,329682.0,19560495.0,1419430.0,18141065.0,1794505.0,91.6,current
net_profits_pica,247646.0,580331.0,938922.0,4352607.0,-3413685.0,4061078.0,18.78,prior
net_profits_pica,785687.0,910013.0,20499417.0,5772037.0,14727380.0,5855583.0,77.78,total
net_profits,1643093.0,1930304.0,42812467.0,12227655.0,30584812.0,13406533.0,76.15,total
wage_earnings_net_profits,149179593.0,166086293.0,1001411980.0,1061989680.0,-60577699.0,1055371020.0,48.69,total
wage_earnings_net_profits_pica,36476144.0,40035808.0,252924527.0,255981973.0,-3057445.0,254895473.0,49.81,total
wage_earnings_net_profits_city,112703449.0,126050485.0,748487453.0,806007707.0,-57520254.0,800475547.0,48.32,total
birt,19080459.0,27372075.0,357068434.0,81969196.0,275099238.0,,,current
birt,2684485.0,3175777.0,14748136.0,12971135.0,1777001.0,,,prior
birt,21764944.0,30547852.0,371816570.0,94940332.0,276876238.0,92504430.0,80.08,total
sales,12542426.0,14396864.0,107592684.0,120425353.0,-12832669.0,66915316.0,61.65,total
amusement,92128.0,2167337.0,421478.0,13761050.0,-13339572.0,16189522.0,2.54,total
tobacco,1657.0,19246.0,49527.0,34389.0,15138.0,917473.0,5.12,total
parking,3699309.0,8326930.0,20886018.0,49521688.0,-28635670.0,54584982.0,27.67,total
valet,-10962.0,150701.0,124877.0,888171.0,-763294.0,1123123.0,10.01,total
real_estate_transfer,32349962.0,30093300.0,171077772.0,178835989.0,-7758217.0,121738228.0,58.43,total
outdoor_ads,280322.0,341485.0,1283083.0,1904505.0,-621421.0,2107917.0,37.84,total
soda,4871131.0,7022986.0,34530894.0,39562908.0,-5032014.0,,,current
soda,8652.0,3033.0,71095.0,518678.0,-447583.0,,,prior
soda,4879782.0,7026019.0,34601989.0,40081586.0,-5479597.0,32839011.0,51.31,total
other_taxes,15400.0,61100.0,15400.0,63213.0,-47813.0,57600.0,21.1,total
all_taxes,213388182.0,251064573.0,1523177897.0,1375287149.0,147890748.0,1806920103.0,45.74,total
