name,sep_fy16,sep_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
us_government,1790058.0,2290511.0,8909746.0,4806582.0,4103164.0,20507254.0,30.29
commonwealth_of_pa,65378524.0,63671603.0,120692828.0,116981166.0,3711662.0,90974172.0,57.02
other_governmental_units,14288.0,,79117.0,64434.0,14683.0,19452883.0,0.41
pica_transfer,27410057.0,31096106.0,81878486.0,75584940.0,6293546.0,271620514.0,23.16
parking_receipts_ppa,2407470.0,40087.0,11556746.0,8143544.0,3413202.0,24143254.0,32.37
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,97000397.0,97098307.0,223116923.0,205580666.0,17536257.0,428698077.0,34.23
