name,jan_fy22,jan_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,5930788.0,11500.0,13350000.0,25331070.0,-11981070.0,74135000.0,15.26
commonwealth_of_pa,10626713.0,47643078.0,194634127.0,206719076.0,-12084949.0,34625873.0,84.9
other_governmental_units,4252290.0,1780930.0,19930310.0,4423315.0,15506995.0,44171690.0,31.09
pica_transfer,111081131.0,28348337.0,284706726.0,267374955.0,17331771.0,210805274.0,57.46
total_revenue_other_govts,131890923.0,77783845.0,512621163.0,503848416.0,8772747.0,363737837.0,58.49
