name,jun_fy18,jun_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3633989.0,3892028.0,609419302.0,542335470.0,67083832.0,-1494302.0,100.25,current
real_estate,4225851.0,1508238.0,43457005.0,44320363.0,-863358.0,-5125005.0,113.37,prior
real_estate,7859840.0,5400266.0,652876307.0,586655833.0,66220474.0,-6619307.0,101.02,total
wage_city,103535943.0,108270498.0,1495603276.0,1421396820.0,74206456.0,22186724.0,98.54,current
wage_city,-1342438.0,-1148770.0,3009592.0,2812107.0,197485.0,-259592.0,109.44,prior
wage_city,102193505.0,107121728.0,1498612868.0,1424208927.0,74403941.0,21927132.0,98.56,total
wage_pica,31633328.0,33704084.0,457029622.0,432811376.0,24218246.0,3975378.0,99.14,current
wage_pica,-408125.0,-102946.0,923492.0,1126125.0,-202633.0,1576508.0,36.94,prior
wage_pica,31225203.0,33601138.0,457953114.0,433937501.0,24015613.0,5551886.0,98.8,total
wage,133418708.0,140722866.0,1956565982.0,1858146428.0,98419554.0,27479018.0,98.62,total
earnings_city,224676.0,273382.0,10085602.0,9496157.0,589445.0,-285602.0,102.91,current
earnings_city,216150.0,-653220.0,4963633.0,5443698.0,-480065.0,536367.0,90.25,prior
earnings_city,440826.0,-379838.0,15049235.0,14939855.0,109380.0,250765.0,98.36,total
earnings_pica,118163.0,157877.0,5324514.0,4852313.0,472201.0,-1324514.0,133.11,current
earnings_pica,114414.0,236704.0,2620819.0,3340658.0,-719839.0,79181.0,97.07,prior
earnings_pica,232577.0,394581.0,7945333.0,8192971.0,-247638.0,-1245333.0,118.59,total
earnings,673403.0,14743.0,22994568.0,23132826.0,-138258.0,-994568.0,104.52,total
net_profits_city,3070158.0,2377200.0,28120307.0,25582438.0,2537869.0,-613307.0,102.23,current
net_profits_city,-38180.0,-6235139.0,4872049.0,-3006986.0,7879035.0,-2372049.0,194.88,prior
net_profits_city,3031978.0,-3857939.0,32992356.0,22575452.0,10416904.0,-2985356.0,109.95,total
net_profits_pica,2874506.0,2308492.0,26487594.0,23895290.0,2592304.0,-2862594.0,112.12,current
net_profits_pica,-35135.0,181465.0,4589422.0,3184866.0,1404556.0,-1089422.0,131.13,prior
net_profits_pica,2839371.0,2489957.0,31077016.0,27080156.0,3996860.0,-3952016.0,114.57,total
net_profits,5871349.0,-1367982.0,64069372.0,49655608.0,14413764.0,-6937372.0,112.14,total
wage_earnings_net_profits,139963460.0,139369627.0,2043629922.0,1930934862.0,112695060.0,19547078.0,99.05,total
wage_earnings_net_profits_pica,34297151.0,36485676.0,496975463.0,469210628.0,27764835.0,354537.0,99.93,total
wage_earnings_net_profits_city,105666309.0,102883951.0,1546654459.0,1461724234.0,84930225.0,19192541.0,98.77,total
birt,8168838.0,-19388877.0,415380053.0,392681991.0,22698062.0,,,current
birt,2675251.0,-16879148.0,34436708.0,20891287.0,13545421.0,,,prior
birt,10844089.0,-36268025.0,449816761.0,413573278.0,36243483.0,-36291761.0,108.78,total
sales,27397162.0,19240723.0,202175070.0,183280191.0,18894879.0,2276930.0,98.89,total
amusement,630045.0,643762.0,22332840.0,20442704.0,1890136.0,-1045840.0,104.91,total
tobacco,3594.0,3659.0,990570.0,861502.0,129068.0,-211570.0,127.16,total
parking,8085610.0,8130334.0,93693066.0,93906607.0,-213541.0,1823934.0,98.09,total
valet,158880.0,95183.0,2611497.0,1376147.0,1235350.0,-111497.0,104.46,total
real_estate_transfer,26905779.0,24353008.0,333189394.0,242807992.0,90381402.0,-46053394.0,116.04,total
outdoor_ads,291678.0,266788.0,2948695.0,2764265.0,184430.0,-58695.0,102.03,total
soda,6668457.0,6872198.0,76585575.0,32549120.0,44036455.0,,,current
soda,282586.0,,707923.0,,707923.0,,,prior
soda,6951043.0,6872198.0,77293498.0,32549120.0,44744378.0,1532502.0,98.06,total
other_taxes,1.0,,92529.0,72598.0,19931.0,471.0,99.49,total
all_taxes,194794030.0,131621847.0,3384674686.0,3040014471.0,344660215.0,-65565686.0,101.98,total
