name,aug_fy21,aug_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,700608.0,288003.0,8776451.0,640279.0,8136172.0,14205549.0,38.19
commonwealth_of_pa,44480866.0,49089975.0,50795277.0,53429233.0,-2633956.0,172046723.0,22.79
other_governmental_units,,5275422.0,,10475725.0,-10475725.0,51773000.0,0.0
pica_transfer,37777567.0,44714790.0,90738453.0,77701584.0,13036868.0,379861547.0,19.28
total_revenue_other_govts,82959041.0,99368190.0,150310180.0,142246821.0,8063359.0,617886820.0,19.57
