name,jun_fy22,jun_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,-17860235.0,-4563489.0,665763442.0,699642194.0,-23179245.0,27176640.0,96.11,current
real_estate,-170434.0,4658473.0,27379691.0,29044639.0,494603.0,-1143682.0,103.98,prior
real_estate,-18030669.0,94984.0,693143133.0,728686833.0,-22684642.0,26032958.0,96.42,total
wage_city,122540591.0,119075020.0,1633813449.0,1465485638.0,235551188.0,-152584203.0,110.04,current
wage_city,293762.0,-89867.0,-31600317.0,556032.0,-32156349.0,35000317.0,-929.42,prior
wage_city,122834353.0,118985153.0,1602213132.0,1466041670.0,203394839.0,384450114.0,81.02,total
wage_pica,45670138.0,37607691.0,555600336.0,467086593.0,88513743.0,-50166336.0,109.93,current
wage_pica,104111.0,81548.0,-10416637.0,287577.0,-10704214.0,12416637.0,-520.83,prior
wage_pica,45774249.0,37689239.0,545183699.0,467374170.0,77809529.0,-539783699.0,10095.99,total
wage,168608602.0,156674392.0,2147396831.0,1933415840.0,281204368.0,-155333585.0,107.65,total
earnings_city,593812.0,2615297.0,10427922.0,13960324.0,-373698.0,2711436.0,79.14,current
earnings_city,112310.0,124587.0,2291641.0,2181709.0,109932.0,4708359.0,32.74,prior
earnings_city,706122.0,2739884.0,12719563.0,16142033.0,-263766.0,7419795.0,62.9,total
earnings_pica,293803.0,1492546.0,5756230.0,7692133.0,-1935903.0,-3756230.0,287.81,current
earnings_pica,100976.0,120532.0,1302405.0,1244663.0,57742.0,697595.0,65.12,prior
earnings_pica,394779.0,1613079.0,7058635.0,8936796.0,-1878161.0,-3058635.0,176.47,total
earnings,1100901.0,4352962.0,19778198.0,25078829.0,-2141927.0,4361160.0,81.83,total
net_profits_city,-7798400.0,7412212.0,20016265.0,53612604.0,-20550458.0,7907815.0,73.53,current
net_profits_city,80308.0,-250536.0,5323258.0,1860051.0,3463207.0,-623258.0,113.26,prior
net_profits_city,-7718092.0,7161675.0,25339523.0,55472655.0,-17087251.0,7284557.0,78.93,total
net_profits_pica,2454648.0,4894665.0,28454655.0,46145407.0,-17690752.0,-2959655.0,111.61,current
net_profits_pica,136705.0,-124621.0,4882564.0,1759845.0,3122719.0,117436.0,97.65,prior
net_profits_pica,2591353.0,4770044.0,33337219.0,47905252.0,-14568033.0,-2842219.0,109.32,total
net_profits,-5126739.0,11931719.0,58676742.0,103377907.0,-31655284.0,4442338.0,93.17,total
wage_earnings_net_profits,164582764.0,172959073.0,2225851771.0,2061872576.0,247407157.0,-146530087.0,106.91,total
wage_earnings_net_profits_pica,48760381.0,44072361.0,585579552.0,524216218.0,61363335.0,-38650553.0,107.07,total
wage_earnings_net_profits_city,115822383.0,128886712.0,1640272219.0,1537656358.0,186043822.0,-107879534.0,106.86,total
birt,57875513.0,-869113.0,723605711.0,745784180.0,251512412.0,-181933335.0,,current
birt,1325918.0,14946903.0,22689804.0,65935893.0,-43246089.0,-22689804.0,,prior
birt,59201431.0,14077790.0,746295515.0,811720073.0,208266323.0,-204623139.0,137.53,total
sales,32883999.0,30360846.0,272804879.0,218489807.0,47281093.0,-9250841.0,103.45,total
amusement,1485742.0,424569.0,24073144.0,1952411.0,23136512.0,-4226691.0,119.36,total
tobacco,33137.0,18110.0,710611.0,544340.0,215948.0,45521.0,94.19,total
parking,7337398.0,6021158.0,82827834.0,49102120.0,32343245.0,1763266.0,97.97,total
valet,139712.0,106077.0,1683865.0,502705.0,1065980.0,-100320.0,106.27,total
real_estate_transfer,36970473.0,26415029.0,530788622.0,315763171.0,232904897.0,-223906962.0,171.54,total
outdoor_ads,293224.0,231193.0,3309434.0,2520441.0,764315.0,-351203.0,111.77,total
soda,7207019.0,7318838.0,76015654.0,68478495.0,4585432.0,2702498.0,96.49,current
soda,126621.0,22703.0,1137309.0,510564.0,626745.0,-1137309.0,,prior
soda,7333640.0,7341541.0,77152963.0,68989059.0,5212177.0,1565189.0,97.97,total
construction,330025.0,,756827.0,,756827.0,6693173.0,10.16,impact
other_taxes,-1356524.0,,268363.0,43012.0,225351.0,-208363.0,447.27,total
all_taxes,242443971.0,213978009.0,4074087409.0,3735970330.0,715531849.0,-514446946.0,114.19,total
