name,jan_fy21,jan_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,11500.0,2263344.0,25331070.0,7084690.0,18246379.0,-2349070.0,110.22
commonwealth_of_pa,47643078.0,1927433.0,206719076.0,198825563.0,7893512.0,16122924.0,92.76
other_governmental_units,1780930.0,1180313.0,4423315.0,30010074.0,-25586759.0,47349685.0,8.54
pica_transfer,28348337.0,40855016.0,267374955.0,275706634.0,-8331679.0,203225045.0,56.82
total_revenue_other_govts,77783845.0,46226106.0,503848416.0,511626961.0,-7778545.0,264348584.0,65.59
