name,feb_fy22,feb_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,67007217.0,60833070.0,160574738.0,156726726.0,3848012.0,535941262.0,23.05,current
real_estate,2885549.0,1021139.0,16669896.0,13724865.0,2945031.0,12069104.0,58.0,prior
real_estate,69892766.0,61854209.0,177244634.0,170451591.0,6793043.0,548010366.0,24.44,total
wage_city,125290379.0,131700484.0,1080823301.0,986047623.0,94775678.0,439006699.0,71.11,current
wage_city,-3530558.0,-609700.0,-39778426.0,887783.0,-40666209.0,8195426.0,125.95,prior
wage_city,121759821.0,131090784.0,1041044875.0,986935406.0,54109469.0,447202125.0,69.95,total
wage_pica,40827418.0,42901416.0,348379052.0,314530088.0,33848964.0,139180948.0,71.45,current
wage_pica,-1125847.0,-203342.0,-1206714.0,283186.0,-1489900.0,2706714.0,-80.45,prior
wage_pica,39701571.0,42698074.0,347172338.0,314813274.0,32359064.0,141887662.0,70.99,total
wage,161461392.0,173788858.0,1388217213.0,1301748680.0,86468533.0,589089787.0,70.21,total
earnings_city,694726.0,911507.0,2655981.0,6806049.0,-4150068.0,9344019.0,22.13,current
earnings_city,100150.0,-268457.0,1720921.0,1444784.0,276137.0,279079.0,86.05,prior
earnings_city,794876.0,643050.0,4376902.0,8250833.0,-3873931.0,9623098.0,31.26,total
earnings_pica,382669.0,512174.0,1465402.0,3719223.0,-2253821.0,6534598.0,18.32,current
earnings_pica,54728.0,-142070.0,941376.0,789514.0,151862.0,1058624.0,47.07,prior
earnings_pica,437397.0,370104.0,2406778.0,4508737.0,-2101959.0,7593222.0,24.07,total
earnings,1232273.0,1013154.0,6783680.0,12759570.0,-5975890.0,17216320.0,28.27,total
net_profits_city,155532.0,860939.0,1572207.0,22801870.0,-21229663.0,31801793.0,4.71,current
net_profits_city,170842.0,11219.0,4547794.0,1210829.0,3336965.0,152206.0,96.76,prior
net_profits_city,326374.0,872158.0,6120001.0,24012699.0,-17892698.0,31953999.0,16.07,total
net_profits_pica,232506.0,200925.0,1934234.0,20358967.0,-18424733.0,26997766.0,6.69,current
net_profits_pica,152538.0,-15585.0,4063136.0,1081106.0,2982030.0,536864.0,88.33,prior
net_profits_pica,385044.0,185340.0,5997370.0,21440073.0,-15442703.0,27534630.0,17.89,total
net_profits,711418.0,1057498.0,12117371.0,45452772.0,-33335401.0,59488629.0,16.92,total
wage_earnings_net_profits,163405083.0,175859510.0,1407118264.0,1359961022.0,47157242.0,665794736.0,67.88,total
wage_earnings_net_profits_pica,40524013.0,43253518.0,355576485.0,340762081.0,14814404.0,177015515.0,66.76,total
wage_earnings_net_profits_city,122881070.0,132605992.0,1051541779.0,1019198941.0,32342838.0,488779221.0,68.27,total
birt,10001222.0,8198837.0,180901854.0,377208733.0,-196306879.0,-180901854.0,,current
birt,3266990.0,6002860.0,13810525.0,24500308.0,-10689783.0,-13810525.0,,prior
birt,13268212.0,14201697.0,194712379.0,401709041.0,-206996662.0,350529621.0,35.71,total
sales,18445855.0,15205902.0,163709636.0,137027317.0,26682319.0,73812364.0,68.92,total
amusement,1172613.0,7438.0,16537304.0,511180.0,16026124.0,133696.0,99.2,total
tobacco,374888.0,377281.0,458933.0,472063.0,-13130.0,324067.0,58.61,total
parking,5408338.0,3854626.0,53276001.0,28305557.0,24970444.0,3444999.0,93.93,total
valet,168068.0,58704.0,1132409.0,198537.0,933872.0,467591.0,70.78,total
real_estate_transfer,63977935.0,18192417.0,295112553.0,216492386.0,78620167.0,4347447.0,98.55,total
outdoor_ads,293125.0,206422.0,2281463.0,1668671.0,612792.0,160537.0,93.43,total
soda,5631136.0,4942799.0,52219216.0,44540548.0,7678668.0,-52219216.0,,current
soda,408810.0,28648.0,584272.0,182367.0,401905.0,,,prior
soda,6039946.0,4971447.0,52803488.0,44722915.0,8080573.0,21581512.0,70.99,total
construction,8752.0,,8752.0,,8752.0,7441248.0,0.12,impact
other_taxes,-4215608.0,,432669.0,37700.0,394969.0,23331.0,94.88,total
all_taxes,297715960.0,251536135.0,2009252000.0,2020795899.0,-11543899.0,1499056000.0,57.27,total
