name,apr_fy17,apr_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,382553.0,2144640.0,26102410.0,21585304.0,4517106.0,11949590.0,68.6
commonwealth_of_pa,1112418.0,1820236.0,196107602.0,207777657.0,-11670055.0,24119398.0,89.05
other_governmental_units,4500000.0,4606834.0,9108755.0,13835356.0,-4726601.0,9448245.0,49.09
pica_transfer,40674780.0,43698365.0,331653183.0,311358241.0,20294942.0,63065817.0,84.02
parking_receipts_ppa,7525681.0,,34669994.0,24816495.0,9853499.0,3431006.0,90.99
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,54195432.0,52270075.0,597641944.0,579373053.0,18268891.0,114014056.0,83.98
