name,mar_fy19,mar_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,140521614.0,111507402.0,616879741.0,564812738.0,52067003.0,13868259.0,97.8,current
real_estate,4543556.0,3217867.0,30294632.0,30804319.0,-509687.0,8037368.0,79.03,prior
real_estate,145065170.0,114725269.0,647174373.0,595617057.0,51557316.0,21905627.0,96.73,total
wage_city,136265203.0,128574646.0,1178877478.0,1124500214.0,54377264.0,390935522.0,75.1,current
wage_city,-192679.0,227818.0,-4093401.0,3770160.0,-7863561.0,6343401.0,-181.93,prior
wage_city,136072524.0,128802464.0,1174784077.0,1128270374.0,46513703.0,397278923.0,74.73,total
wage_pica,42489560.0,39290146.0,367594143.0,343627194.0,23966949.0,110760857.0,76.85,current
wage_pica,-60080.0,69617.0,-1274333.0,1152190.0,-2426523.0,2774333.0,-84.96,prior
wage_pica,42429480.0,39359763.0,366319810.0,344779384.0,21540426.0,113535190.0,76.34,total
wage,178502004.0,168162227.0,1541103887.0,1473049758.0,68054129.0,510814113.0,75.11,total
earnings_city,1102625.0,900669.0,3508945.0,3726763.0,-217818.0,6991055.0,33.42,current
earnings_city,421608.0,428191.0,3497595.0,3830347.0,-332752.0,2502405.0,58.29,prior
earnings_city,1524233.0,1328860.0,7006540.0,7557110.0,-550570.0,9493460.0,42.46,total
earnings_pica,586927.0,475483.0,1867811.0,1967440.0,-99629.0,3132189.0,37.36,current
earnings_pica,224422.0,226051.0,1861770.0,2022124.0,-160354.0,1138230.0,62.06,prior
earnings_pica,811349.0,701534.0,3729581.0,3989564.0,-259983.0,4270419.0,46.62,total
earnings,2335582.0,2030394.0,10736121.0,11546674.0,-810553.0,13763879.0,43.82,total
net_profits_city,2335616.0,2430274.0,4385936.0,6206396.0,-1820460.0,24284064.0,15.3,current
net_profits_city,529460.0,290083.0,5183506.0,2970015.0,2213491.0,-2683506.0,207.34,prior
net_profits_city,2865076.0,2720357.0,9569442.0,9176411.0,393031.0,21600558.0,30.7,total
net_profits_pica,2076526.0,2286819.0,3900363.0,5842972.0,-1942609.0,20765637.0,15.81,current
net_profits_pica,470653.0,273185.0,4610103.0,2797004.0,1813099.0,-1110103.0,131.72,prior
net_profits_pica,2547179.0,2560004.0,8510466.0,8639976.0,-129510.0,19655534.0,30.22,total
net_profits,5412255.0,5280361.0,18079908.0,17816387.0,263521.0,41256092.0,30.47,total
wage_earnings_net_profits,186249841.0,175472982.0,1569919916.0,1502412819.0,67507097.0,565834084.0,73.51,total
wage_earnings_net_profits_pica,45788008.0,42621301.0,378559857.0,357408924.0,21150933.0,137461143.0,73.36,total
wage_earnings_net_profits_city,140461833.0,132851681.0,1191360059.0,1145003895.0,46356164.0,428372941.0,73.55,total
birt,39450926.0,35947553.0,108251658.0,98492288.0,9759370.0,,,current
birt,5343861.0,4356943.0,26191378.0,21294771.0,4896607.0,,,prior
birt,44794787.0,40304496.0,134443036.0,119787059.0,14655977.0,290748964.0,31.62,total
sales,12341609.0,12997255.0,150194105.0,149378003.0,816102.0,66329895.0,69.37,total
amusement,1637715.0,1083610.0,20518342.0,16954759.0,3563583.0,1694658.0,92.37,total
tobacco,8727.0,3503.0,937511.0,978003.0,-40492.0,-154511.0,119.73,total
parking,7472615.0,7812644.0,70866692.0,69758687.0,1108005.0,28206308.0,71.53,total
valet,120627.0,125923.0,1347466.0,2162174.0,-814708.0,252534.0,84.22,total
real_estate_transfer,23574527.0,19049560.0,229467116.0,247124659.0,-17657543.0,81030884.0,73.9,total
outdoor_ads,234693.0,202733.0,2446652.0,2160468.0,286184.0,414348.0,85.52,total
soda,5595389.0,5351158.0,56828543.0,57447001.0,-618458.0,,,current
soda,293913.0,99944.0,400010.0,144694.0,255316.0,,,prior
soda,5889302.0,5451102.0,57228553.0,57591695.0,-363142.0,20809447.0,73.33,total
other_taxes,151.0,5.0,72514.0,92333.0,-19819.0,10486.0,87.37,total
all_taxes,381601756.0,334607781.0,2506056419.0,2406608792.0,99447627.0,939621581.0,72.73,total
