name,apr_fy22,apr_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,173916132.0,112760650.0,676387643.0,690825556.0,-14437913.0,21542357.0,96.91,current
real_estate,4436045.0,4285465.0,24847808.0,21196015.0,3651793.0,3891192.0,86.46,prior
real_estate,178352177.0,117046115.0,701235451.0,712021571.0,-10786120.0,25433549.0,96.5,total
wage_city,128728180.0,143346908.0,1363430755.0,1258949142.0,104481613.0,156882245.0,89.68,current
wage_city,254246.0,-12475706.0,-32285294.0,-16496992.0,-15788302.0,537719294.0,-6.39,prior
wage_city,128982426.0,130871202.0,1331145461.0,1242452150.0,88693311.0,694601539.0,65.71,total
wage_pica,53525360.0,46096082.0,457735028.0,402766684.0,54968344.0,-454335028.0,13462.79,current
wage_pica,84125.0,,-10650192.0,283186.0,-10933378.0,12650192.0,-532.51,prior
wage_pica,53609485.0,46096082.0,447084836.0,403049870.0,44034966.0,-441684836.0,8279.35,total
wage,182591911.0,176967284.0,1778230297.0,1645502020.0,132728277.0,252916703.0,87.55,total
earnings_city,979758.0,-559130.0,4145110.0,6618095.0,-2472985.0,8854890.0,31.89,current
earnings_city,161686.0,321368.0,2019348.0,2029953.0,-10605.0,4980652.0,28.85,prior
earnings_city,1141444.0,-237762.0,6164458.0,8648048.0,-2483590.0,13835542.0,30.82,total
earnings_pica,2978603.0,3027241.0,4733610.0,6989871.0,-2256261.0,-2733610.0,236.68,current
earnings_pica,89300.0,,1113069.0,789514.0,323555.0,886931.0,55.65,prior
earnings_pica,3067903.0,3027241.0,5846679.0,7779385.0,-1932706.0,-1846679.0,146.17,total
earnings,4209347.0,2789479.0,12011137.0,16427433.0,-4416296.0,11988863.0,50.05,total
net_profits_city,18919148.0,9185067.0,22282237.0,33129699.0,-10847462.0,7588763.0,74.59,current
net_profits_city,286862.0,886748.0,5014598.0,2983824.0,2030774.0,-314598.0,106.69,prior
net_profits_city,19206010.0,10071815.0,27296835.0,36113523.0,-8816688.0,7274165.0,78.96,total
net_profits_pica,17308374.0,7802903.0,20874515.0,29305088.0,-8430573.0,4620485.0,81.88,current
net_profits_pica,260167.0,,4538757.0,1081106.0,3457651.0,461243.0,90.78,prior
net_profits_pica,17568541.0,7802903.0,25413272.0,30386194.0,-4972922.0,5081728.0,83.34,total
net_profits,36774551.0,17874718.0,52710107.0,66499717.0,-13789610.0,12355893.0,81.01,total
wage_earnings_net_profits,223575809.0,197631481.0,1842951541.0,1728429170.0,114522371.0,277261459.0,86.92,total
wage_earnings_net_profits_pica,74245929.0,56926226.0,478344786.0,441215445.0,37129341.0,68584214.0,87.46,total
wage_earnings_net_profits_city,149329880.0,140705255.0,1364606755.0,1287213725.0,77393030.0,208677245.0,86.74,total
birt,374308777.0,187414252.0,600439501.0,603109831.0,-2670330.0,-55197501.0,,current
birt,2873967.0,12033347.0,18809226.0,42986393.0,-24177167.0,-18809226.0,,prior
birt,377182744.0,199447599.0,619248727.0,646096224.0,-26847497.0,-74006727.0,113.57,total
sales,26860445.0,12732142.0,205846314.0,162997064.0,42849250.0,62592686.0,76.68,total
amusement,1958363.0,877659.0,20180294.0,1417330.0,18762964.0,1647706.0,92.45,total
tobacco,24415.0,1462.0,489792.0,525228.0,-35436.0,293208.0,62.55,total
parking,7436792.0,5432565.0,67358772.0,37657071.0,29701701.0,19325228.0,77.71,total
valet,149233.0,62229.0,1386839.0,311653.0,1075186.0,213161.0,86.68,total
real_estate_transfer,71384398.0,25110293.0,439369640.0,262506501.0,176863139.0,-126382640.0,140.38,total
outdoor_ads,289377.0,220838.0,2799364.0,2097150.0,702214.0,185636.0,93.78,total
soda,5823078.0,5816221.0,63265994.0,55256965.0,8009029.0,13666006.0,,current
soda,10069.0,19548.0,611544.0,256545.0,354999.0,,,prior
soda,5833147.0,5835769.0,63877538.0,55513510.0,8364028.0,13054462.0,83.03,total
construction,142488.0,,173557.0,,173557.0,7276443.0,2.33,impact
other_taxes,1035181.0,4617.0,1384301.0,42317.0,1341984.0,-1324301.0,2307.17,total
all_taxes,819978640.0,507476543.0,3487957344.0,3168399344.0,319558000.0,136985656.0,96.22,total
