name,apr_fy21,apr_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,4417965.0,1052253.0,30631183.0,11275436.0,19355747.0,89107817.0,25.58
commonwealth_of_pa,3207152.0,392747.0,221268590.0,207104457.0,14164134.0,1035410.0,99.53
other_governmental_units,4500000.0,6668968.0,22346696.0,48792780.0,-26446084.0,29426304.0,43.16
pica_transfer,52183759.0,77107451.0,410444765.0,412094056.0,-1649291.0,52273235.0,88.7
total_revenue_other_govts,64308877.0,85221419.0,684691234.0,679266728.0,5424506.0,171842766.0,79.94
