name,may_fy22,may_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,7236033.0,13380127.0,683623676.0,704205683.0,-20582007.0,14306324.0,97.95,current
real_estate,2702317.0,3190151.0,27550125.0,24386166.0,3163959.0,1188875.0,95.86,prior
real_estate,9938350.0,16570278.0,711173801.0,728591849.0,-17418048.0,15495199.0,97.87,total
wage_city,147842102.0,87461476.0,1511272858.0,1346410618.0,164862240.0,9040142.0,99.41,current
wage_city,391214.0,17142891.0,-31894080.0,645899.0,-32539979.0,35294080.0,-6.31,prior
wage_city,148233316.0,104604367.0,1479378778.0,1347056517.0,132322261.0,546368222.0,73.03,total
wage_pica,52195169.0,26712218.0,509930197.0,429478902.0,80451295.0,-4496197.0,14997.95,current
wage_pica,129445.0,-77157.0,-10520748.0,206029.0,-10726777.0,12520748.0,-526.04,prior
wage_pica,52324614.0,26635061.0,499409449.0,429684931.0,69724518.0,-494009449.0,9248.32,total
wage,200557930.0,131239428.0,1978788227.0,1776741448.0,202046779.0,52358773.0,97.42,total
earnings_city,5689001.0,4726933.0,9834111.0,11345028.0,-1510917.0,3165889.0,75.65,current
earnings_city,159983.0,27169.0,2179331.0,2057122.0,122209.0,4820669.0,31.13,prior
earnings_city,5848984.0,4754102.0,12013442.0,13402150.0,-1388708.0,7986558.0,60.07,total
earnings_pica,728817.0,-790284.0,5462427.0,6199587.0,-737160.0,-3462427.0,273.12,current
earnings_pica,88360.0,334617.0,1201429.0,1124131.0,77298.0,798571.0,60.07,prior
earnings_pica,817177.0,-455667.0,6663856.0,7323718.0,-659862.0,-2663856.0,166.6,total
earnings,6666161.0,4298435.0,18677298.0,20725868.0,-2048570.0,5322702.0,77.82,total
net_profits_city,5532427.0,13070693.0,27814665.0,46200392.0,-18385727.0,2056335.0,93.12,current
net_profits_city,228353.0,-873237.0,5242950.0,2110587.0,3132363.0,-542950.0,111.55,prior
net_profits_city,5760780.0,12197456.0,33057615.0,48310979.0,-15253364.0,1513385.0,95.62,total
net_profits_pica,5125491.0,11945654.0,26000006.0,41250742.0,-15250736.0,-505006.0,101.98,current
net_profits_pica,207102.0,803361.0,4745860.0,1884467.0,2861393.0,254140.0,94.92,prior
net_profits_pica,5332593.0,12749015.0,30745866.0,43135209.0,-12389343.0,-250866.0,100.82,total
net_profits,11093373.0,24946471.0,63803481.0,91446188.0,-27642707.0,1262519.0,98.06,total
wage_earnings_net_profits,218317464.0,160484334.0,2061269006.0,1888913504.0,172355502.0,58943994.0,97.22,total
wage_earnings_net_profits_pica,58474384.0,38928409.0,536819170.0,480143854.0,56675316.0,10109830.0,98.15,total
wage_earnings_net_profits_city,159843080.0,121555925.0,1524449836.0,1408769650.0,115680186.0,48834164.0,96.9,total
birt,65290697.0,143543462.0,665730198.0,746653293.0,-80923095.0,-120488198.0,,current
birt,2554660.0,8002596.0,21363886.0,50988989.0,-29625103.0,-21363886.0,,prior
birt,67845357.0,151546058.0,687094084.0,797642282.0,-110548198.0,-141852084.0,126.02,total
sales,34074566.0,25131897.0,239920880.0,188128961.0,51791919.0,28518120.0,89.38,total
amusement,2407108.0,110512.0,22587402.0,1527842.0,21059560.0,-759402.0,103.48,total
tobacco,187683.0,1001.0,677475.0,526230.0,151245.0,105525.0,86.52,total
parking,8131664.0,5423891.0,75490436.0,43080962.0,32409474.0,11193564.0,87.09,total
valet,157314.0,84975.0,1544152.0,396627.0,1147525.0,55848.0,96.51,total
real_estate_transfer,54448509.0,26841641.0,493818149.0,289348142.0,204470007.0,-180831149.0,157.78,total
outdoor_ads,216846.0,192098.0,3016210.0,2289248.0,726962.0,-31210.0,101.05,total
soda,5542641.0,5902693.0,68808634.0,61159657.0,7648977.0,8123366.0,,current
soda,399144.0,231317.0,1010688.0,487861.0,522827.0,,,prior
soda,5941785.0,6134010.0,69819322.0,61647518.0,8171804.0,7112678.0,90.75,total
construction,253246.0,,426802.0,,426802.0,7023198.0,5.73,impact
other_taxes,240587.0,696.0,1624887.0,43012.0,1581875.0,-1564887.0,2708.15,total
all_taxes,343686095.0,353592982.0,3831643436.0,3521992323.0,309651113.0,-206700436.0,105.7,total
