name,oct_fy22,oct_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,5484546.0,7418805.0,7033765.0,16645979.0,-9612214.0,37794235.0,15.69
commonwealth_of_pa,9140732.0,5822109.0,140545111.0,138820753.0,1724357.0,88822889.0,61.27
other_governmental_units,,,15678020.0,,15678020.0,48423980.0,24.46
pica_transfer,21866834.0,23151551.0,139732049.0,146487501.0,-6755452.0,351109951.0,28.47
total_revenue_other_govts,36492113.0,36392465.0,302988945.0,301954234.0,1034711.0,526151055.0,36.54
