name,aug_fy20,aug_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
us_government,288003.0,2921511.0,640279.0,4739993.0,-4099714.0,45141721.0,1.4
commonwealth_of_pa,49089975.0,50534043.0,53429232.0,52032631.0,1396601.0,182248768.0,22.67
other_governmental_units,,,,,,18582000.0,0.0
pica_transfer,44714790.0,41568383.0,77701584.0,75708521.0,1993063.0,421588416.0,15.56
parking_receipts_ppa,5275422.0,10031428.0,10475725.0,15883277.0,-5407552.0,35364275.0,22.85
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,99368190.0,105055365.0,142246820.0,148364422.0,-6117602.0,704925180.0,16.79
