name,may_fy22,may_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,615640.0,419477.0,21869566.0,31050660.0,-9181094.0,66615434.0,24.72
commonwealth_of_pa,4174232.0,2260292.0,214745516.0,223528882.0,-8783366.0,10982484.0,95.13
other_governmental_units,7459370.0,8572266.0,44209822.0,30918962.0,13290860.0,19892178.0,68.97
pica_transfer,60672219.0,30652220.0,506667313.0,441096985.0,65570328.0,3181687.0,99.38
total_revenue_other_govts,72921461.0,41904255.0,787492217.0,726595489.0,60896728.0,100671783.0,88.67
