name,feb_fy23,feb_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
us_government,241054.0,478820.0,18296272.0,13828819.0,4467453.0,37597728.0,32.73
commonwealth_of_pa,5669104.0,161338.0,180182987.0,194795465.0,-14612478.0,51316013.0,77.83
other_governmental_units,75000.0,,30502021.0,19930310.0,10571711.0,34562979.0,46.88
pica_transfer,34617764.0,7075545.0,387641651.0,291782271.0,95859380.0,173280349.0,69.11
total_revenue_other_govts,40602922.0,7715703.0,616622930.0,520336865.0,96286065.0,296757070.0,67.51
