name,aug_fy22,aug_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
us_government,463291.0,700608.0,910947.0,8776451.0,-7865504.0,43917053.0,1.0
commonwealth_of_pa,50451882.0,44480866.0,50875921.0,50795277.0,80644.0,178492079.0,0.18
other_governmental_units,2003524.0,,11504029.0,,11504029.0,52597971.0,14.82
pica_transfer,43672659.0,37777567.0,63179975.0,90738453.0,-27558478.0,427662026.0,6.1
total_revenue_other_govts,96591356.0,82959041.0,126470871.0,150310180.0,-23839309.0,702669129.0,4.86
