name,may_fy21,may_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,419477.0,1628132.0,31050660.0,12903567.0,18147093.0,88688340.0,25.93
commonwealth_of_pa,2260292.0,1678128.0,223528883.0,208782585.0,14746298.0,-1224883.0,100.55
other_governmental_units,8572266.0,4500000.0,30918962.0,53292780.0,-22373818.0,20854038.0,59.72
pica_transfer,30652220.0,50825227.0,441096985.0,462919284.0,-21822298.0,21621015.0,95.33
total_revenue_other_govts,41904256.0,58631487.0,726595490.0,737898216.0,-11302726.0,129938510.0,84.83
