name,nov_fy23,nov_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
us_government,676184.0,50002.0,9777764.0,7083767.0,2693997.0,46116236.0,17.49
commonwealth_of_pa,4334544.0,43171079.0,154427833.0,183716190.0,-29288356.0,77071167.0,66.71
other_governmental_units,3724359.0,,24277237.0,15678020.0,8599217.0,40787763.0,37.31
pica_transfer,65953040.0,,253682609.0,139732049.0,113950561.0,307239391.0,45.23
total_revenue_other_govts,74688127.0,43221081.0,442165444.0,346210026.0,95955419.0,471214556.0,48.41
