name,may_fy18,may_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,13860726.0,12648976.0,736608593,654698345,81910248.0,2581407.0,100.0,current
real_estate,4756199.0,5513991.0,48714694,53354728,4640034.0,2102694.0,105.0,prior
real_estate,18616925.0,18162967.0,785323287,708053073,77270214.0,478713.0,100.0,total
school_income,1408.0,5487.0,4548431,5894719,1346288.0,1317431.0,141.0,current
school_income,13161183.0,2561501.0,43075737,36589733,6486004.0,3475737.0,109.0,prior
school_income,390480.0,1531734.0,5052911,4642132,410779.0,252911.0,105.0,total
use_and_occupancy,13551663.0,4093235.0,48128648,41231865,6896783.0,3728648.0,108.0,current
use_and_occupancy,13349097.0,11130099.0,153694216,119185529,34508687.0,16205784.0,90.0,prior
use_and_occupancy,657700.0,1103974.0,6866212,6647009,219203.0,1933788.0,78.0,total
liquor,14006797.0,12234073.0,160560428,125832538,34727890.0,18139572.0,90.0,current
liquor,7747634.0,6450120.0,63320496,57313452,6007044.0,1979504.0,91.0,prior
liquor,520206.0,1237754.0,6962996,8487656,1524660.0,1537004.0,86.0,total
pilots,8267840.0,7687874.0,70283492,65801108,4482384.0,3516508.0,90.0,total
other_nontax,,,4619,4619,,,,total
total_revenue,54444633.0,42183636.0,1068848905,946817922,122030983.0,9894905.0,98.0,total
