name,jul_fy21,jul_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8504941.0,6998320.0,8504941.0,6998320.0,1506620.0,772342059.0,1,current
real_estate,2536083.0,3574746.0,2536083.0,3574746.0,1038662.0,41333917.0,6,prior
real_estate,11041024.0,10573066.0,11041024.0,10573066.0,467958.0,813675976.0,1,total
school_income,9830721.0,403902.0,9830721.0,403902.0,9426819.0,37119027.0,21,current
school_income,71567.0,189712.0,71567.0,189712.0,118145.0,1384409.0,5,prior
school_income,9902288.0,593613.0,9902288.0,593613.0,9308675.0,38503436.0,20,total
use_and_occupancy,13108107.0,18131884.0,13108107.0,18131884.0,5023776.0,150473993.0,8,current
use_and_occupancy,298404.0,428661.0,298404.0,428661.0,130257.0,7901596.0,4,prior
use_and_occupancy,13406512.0,18560544.0,13406512.0,18560544.0,5154033.0,158375588.0,8,total
liquor,1744615.0,7301089.0,1744615.0,7301089.0,5556474.0,69856185.0,2,current
liquor,281527.0,357679.0,281527.0,357679.0,76152.0,4938496.0,5,prior
liquor,2026142.0,7658767.0,2026142.0,7658767.0,5632625.0,74794681.0,3,total
pilots,96584.0,350198.0,96584.0,350198.0,253614.0,96584.0,0,total
other_nontax,,,,,,,0,total
total_revenue,36472549.0,37736188.0,36472549.0,37736188.0,1263639.0,1085253098.0,3,total
