name,nov_fy21,nov_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5082491,3793193,38765494,27536712,11228782,742081506,5,current
real_estate,1391616,2525254,12158556,17652273,5493717,31711444,28,prior
real_estate,6474107,6318447,50924049,45188985,5735064,773792951,6,total
school_income,359842,259278,17349322,4502380,12846942,29600426,37,current
school_income,51306,107282,309668,552574,242906,1146308,21,prior
school_income,411149,366560,17658990,5054954,12604036,30746734,36,total
use_and_occupancy,13005219,14994777,67587239,77284208,9696970,95994861,41,current
use_and_occupancy,200960,221926,1554721,2552990,998269,6645279,19,prior
use_and_occupancy,13206180,15216703,69141960,79837198,10695238,102640140,40,total
liquor,2474631,6970078,11256402,33543840,22287438,60344398,16,current
liquor,198588,123250,1325279,1379626,54346,3894744,25,prior
liquor,2673219,7093327,12581681,34923466,22341785,64239142,16,total
other_nontax,31567,18879,422048,460702,38654,5206628,7,total
total_revenue,22796222,29013916,150728728,165465304,14736577,976625595,13,total
