name,feb_fy20,feb_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,508035276.0,471588069.0,647823496,579215949.0,68607547,154511504.0,81.0,current
real_estate,5867208.0,3763227.0,28913507,31884536.0,2971029,16765493.0,63.0,prior
real_estate,513902485.0,475351296.0,676737003,611100485.0,65636519,171276997.0,80.0,total
school_income,279270.0,224369.0,5230037,3970334.0,1259704,42510963.0,11.0,current
school_income,235480.0,663807.0,1167485,2269996.0,1102511,2132515.0,35.0,prior
school_income,514750.0,888175.0,6397523,6240330.0,157193,44643477.0,13.0,total
use_and_occupancy,14783545.0,13696223.0,125997951,119068095.0,6929856,51342049.0,71.0,current
use_and_occupancy,924298.0,1248978.0,6070075,5065923.0,1004152,1729925.0,78.0,prior
use_and_occupancy,15707843.0,14945200.0,132068026,124134018.0,7934008,53071974.0,71.0,total
liquor,4556120.0,4624745.0,52133699,46809502.0,5324197,23816301.0,69.0,current
liquor,1214062.0,754511.0,3846014,3766050.0,79963,1811986.0,68.0,prior
liquor,5770182.0,5379256.0,55979713,50575552.0,5404160,25628287.0,69.0,total
pilots,166107.0,705981.0,670023,3094978.0,2424955,4719977.0,12.0,total
other_nontax,,,2557,,2557,,,total
total_revenue,536061367.0,497269908.0,871854845,795145363.0,76709482,299338155.0,74.0,total
