name,jun_fy20,jun_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,7607239,5072173,811818975.0,799492092.0,16700120,22122944,103,current
real_estate,1933846,755015,36422608.0,48812079.0,13824797,11187449,75,prior
real_estate,9541085,5827188,848241583.0,848304171.0,2875323,10935495,101,total
school_income,1467723,238077,37746194.0,46418642.0,3342474,533500,101,current
school_income,14674,111377,1528691.0,3113182.0,1445313,770730,64,prior
school_income,1482397,349454,39274885.0,49531824.0,1897161,237230,100,total
use_and_occupancy,11362064,13888315,171545406.0,174270487.0,1579642,1017294,99,current
use_and_occupancy,154914,654420,7731012.0,8251466.0,2051308,2479258,72,prior
use_and_occupancy,11516978,14542735,179276418.0,182521953.0,3630951,3496552,98,total
liquor,1209705,6625635,60878241.0,72516494.0,18277801,1625798,103,current
liquor,149246,306149,5694387.0,5814254.0,412247,41668,101,prior
liquor,1358950,6931784,66572628.0,78330748.0,18690048,1667466,103,total
other_nontax,1047757,1273179,,,5951365,811379,85,total
total_revenue,24947168,28924340,1137944135.0,1169218682.0,23499880,8057800,101,total
