name,oct_fy18,oct_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3850428,4117137,20285301,19591715,693586.0,711844699.0,2.77,current
real_estate,3554661,4501117,16811969,17805410,993441.0,43178031.0,28.02,prior
real_estate,7405089,8618254,37097270,37397125,299855.0,755022730.0,4.68,total
school_income,57855,6037,1108991,298171,810820.0,2075009.0,34.83,current
school_income,1349295,670978,2661753,1207225,1454528.0,35548247.0,6.97,prior
school_income,222279,171275,892348,954117,61769.0,2347652.0,27.54,total
use_and_occupancy,1571574,842253,3554101,2161342,1392759.0,37895899.0,8.57,current
use_and_occupancy,14621932,10227855,61586535,46406684,15179851.0,80013465.0,43.49,prior
use_and_occupancy,898698,1054883,2647954,2110732,537222.0,4152046.0,38.94,total
liquor,15520630,11282738,64234489,48517416,15717073.0,84165511.0,43.28,current
liquor,5666357,5490334,23125527,20418250,2707277.0,42174473.0,35.41,prior
liquor,482004,267493,2625323,1764965,860358.0,5874677.0,30.89,total
pilots,6148361,5757827,25750850,22183215,3567635.0,48049150.0,34.89,total
other_nontax,4619,4619,4619,4619,,,,total
total_revenue,30708128,26511728,131750320,110561888,21188432.0,927203680.0,12.44,total
