name,aug_fy21,aug_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10814765.0,6867097.0,19319706.0,13865418.0,5454288.0,761527294,2,current
real_estate,2620641.0,4451701.0,5156724.0,8026446.0,2869722.0,38713276,12,prior
real_estate,13435406.0,11318798.0,24476430.0,21891864.0,2584566.0,800240570,3,total
school_income,3830804.0,716921.0,13661525.0,1120823.0,12540702.0,33288223,29,current
school_income,25290.0,71399.0,96857.0,261111.0,164254.0,1359119,7,prior
school_income,3856094.0,788320.0,13758382.0,1381933.0,12376448.0,34647342,28,total
use_and_occupancy,13989212.0,15026813.0,27097319.0,33158697.0,6061378.0,136484781,17,current
use_and_occupancy,227621.0,1058703.0,526025.0,1487364.0,961338.0,7673975,6,prior
use_and_occupancy,14216833.0,16085516.0,27623344.0,34646061.0,7022716.0,144158756,16,total
liquor,1831819.0,6607360.0,3576434.0,13908449.0,10332014.0,68024366,5,current
liquor,319577.0,298981.0,601104.0,656660.0,55556.0,4618919,12,prior
liquor,2151396.0,6906341.0,4177538.0,14565109.0,10387570.0,72643285,5,total
pilots,255763.0,54525.0,352346.0,404723.0,52376.0,347727,7628,total
other_nontax,,,,,,4500000,0,total
total_revenue,33915491.0,35153501.0,70388040.0,72889689.0,2501649.0,1055842226,6,total
