name,dec_fy20,dec_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,35732789.0,22937330.0,63269501,47409257.0,15860244,739065499.0,8.0,current
real_estate,3085825.0,4326301.0,20738098,24794091.0,4055993,24940902.0,45.0,prior
real_estate,38818614.0,27263631.0,84007599,72203348.0,11804251,764006401.0,10.0,total
school_income,,90355.0,460702,2345638.0,1884936,4929298.0,9.0,current
school_income,182691.0,81687.0,4685071,3702816.0,982255,43055929.0,10.0,prior
school_income,68639.0,75944.0,621213,1137812.0,516599,2678787.0,19.0,total
use_and_occupancy,251330.0,157631.0,5306284,4840628.0,465656,45734716.0,10.0,current
use_and_occupancy,13953609.0,14471125.0,91237817,92376659.0,1138842,86102183.0,51.0,prior
use_and_occupancy,361335.0,518985.0,2914325,2634761.0,279564,4885675.0,37.0,total
liquor,14314944.0,14990110.0,94152142,95011420.0,859278,90987858.0,51.0,current
liquor,7146656.0,5990877.0,40690496,36317197.0,4373299,35259504.0,54.0,prior
liquor,177613.0,260234.0,1557238,1790396.0,233158,4100762.0,28.0,total
pilots,7324269.0,6251111.0,42247734,38107593.0,4140141,39360266.0,52.0,total
other_nontax,4619.0,,4619,,4619,,,total
total_revenue,60713776.0,48752838.0,226179080,212508627.0,13670453,945013920.0,19.0,total
