name,apr_fy16,apr_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6850700.0,6325468.0,57320525,49619938,7700587.0,-320525.0,100.56,current
real_estate,29317623.0,29536521.0,681449458,631938676,49510782.0,11782542.0,98.3,prior
real_estate,,17133.0,2002481,1992854,9627.0,3041519.0,39.7,total
school_income,21768576.0,25584771.0,27028264,30428770,-3400506.0,6071736.0,81.66,current
school_income,1116446.0,2396148.0,5608806,12140474,-6531668.0,2591194.0,68.4,prior
school_income,22885022.0,27980919.0,32637070,42569244,-9932174.0,8662930.0,79.02,total
use_and_occupancy,10589551.0,10604074.0,110744085,101358465,9385620.0,19455915.0,85.06,current
use_and_occupancy,333388221122.0,883355662277.0,66559933887722,55335522445544,11224411441188.0,66112288.0,,prior
use_and_occupancy,10927763.0,11439701.0,117337957,106710919,10627038.0,19462043.0,85.77,total
liquor,4525115.0,4003931.0,46950859,43266607,3684252.0,8649141.0,84.44,current
liquor,479414.0,741297.0,5551644,5391465,,,,prior
liquor,5004529.0,4745228.0,52502503,48658072,3844431.0,8697497.0,85.79,total
other_nontax,1928437.0,,1933056,3876777,-1943721.0,,,total
total_revenue,70063374.0,73719502.0,887862525,835746542,52115983.0,49713475.0,94.7,total
