name,sep_fy21,sep_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,7393672,4969526.0,26713378,18834943,7878435,754133622,3,current
real_estate,2937017,3494850.0,8093741,11521297,3427556,35776259,18,prior
real_estate,10330689,8464376.0,34807118,30356240,4450879,789909882,4,total
school_income,635957,582415.0,14297482,1703237,12594245,32652266,30,current
school_income,50839,83120.0,147696,344231,196535,1308280,10,prior
school_income,686796,665534.0,14445178,2047468,12397710,33960546,30,total
use_and_occupancy,13201121,14924554.0,40298440,48083251,7784811,123283660,25,current
use_and_occupancy,232322,431262.0,758347,1918626,1160279,7441653,9,prior
use_and_occupancy,13433443,15355816.0,41056787,50001877,8945089,130725313,24,total
liquor,2397341,6215344.0,5973775,20123793,14150017,65627025,8,current
liquor,374847,165896.0,975951,822556,153395,4244072,19,prior
liquor,2772188,6381240.0,6949726,20946349,13996623,69871097,9,total
other_nontax,35665,,388011,404723,16711,5240665,7,total
total_revenue,27258781,30866967.0,97646821,103756656,6109835,1029707502,9,total
