name,nov_fy20,nov_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3793193,2921528.0,27536712,24471928.0,3064784,774798288.0,3.0,current
real_estate,2525254,3721856.0,17652273,20467790.0,2815517,28026727.0,39.0,prior
real_estate,6318447,6643384.0,45188985,44939718.0,249267,802825015.0,5.0,total
school_income,20941,,462764,2255283.0,1792519,4927236.0,9.0,current
school_income,259278,496787.0,4502380,3621129.0,881251,43238620.0,9.0,prior
school_income,107282,187799.0,552574,1061868.0,509294,2747426.0,17.0,total
use_and_occupancy,366560,684586.0,5054954,4682997.0,371957,45986046.0,10.0,current
use_and_occupancy,14994777,13866879.0,77284208,77905534.0,621326,100055792.0,44.0,prior
use_and_occupancy,221926,432656.0,2552990,2115776.0,437214,5247010.0,33.0,total
liquor,15216703,14299535.0,79837198,80021310.0,184112,105302802.0,43.0,current
liquor,6970078,6395816.0,33543840,30326320.0,3217520,42406160.0,44.0,prior
liquor,123250,239758.0,1379626,1530162.0,150536,4278374.0,24.0,total
pilots,7093328,6635574.0,34923466,31856482.0,3066984,46684534.0,43.0,total
other_nontax,2062,,2062,,2062,,,total
total_revenue,29013917,28263079.0,165465305,163755790.0,1709515,1005727695.0,14.0,total
