name,jul_fy20,jul_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6998320.0,6219572.0,6998320.0,6219572.0,778748.0,795336680.0,1.0,current
real_estate,3574746.0,4401730.0,3574746.0,4401730.0,826984.0,42104254.0,8.0,prior
real_estate,10573066.0,10621302.0,10573066.0,10621302.0,48236.0,837440934.0,1.0,total
school_income,350198.0,1960320.0,350198.0,1960320.0,1610122.0,5039802.0,6.0,current
school_income,403902.0,458058.0,403902.0,458058.0,54156.0,47337098.0,1.0,prior
school_income,189712.0,186597.0,189712.0,186597.0,3115.0,3110288.0,6.0,total
use_and_occupancy,593614.0,644655.0,593614.0,644655.0,51041.0,50447386.0,1.0,current
use_and_occupancy,18131884.0,21449267.0,18131884.0,21449267.0,3317383.0,159208116.0,10.0,prior
use_and_occupancy,428661.0,595545.0,428661.0,595545.0,166884.0,7371339.0,5.0,total
liquor,18560545.0,22044812.0,18560545.0,22044812.0,3484267.0,166579455.0,10.0,current
liquor,7301089.0,6439924.0,7301089.0,6439924.0,861165.0,68648911.0,10.0,prior
liquor,357679.0,373834.0,357679.0,373834.0,16155.0,5300321.0,6.0,total
other_nontax,7658768.0,6813758.0,7658768.0,6813758.0,845010.0,73949232.0,9.0,total
total_revenue,37736191.0,42084847.0,37736191.0,42084847.0,4348656.0,1133456809.0,3.0,total
