name,mar_fy16,mar_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,130309078.0,139790815.0,601662010,559107684,42554326.0,34569990.0,94.57,current
real_estate,6233536.0,3974487.0,50469825,43294471,7175354.0,6530175.0,88.54,prior
real_estate,136542614.0,143765302.0,652131835,602402155,49729680.0,41100165.0,94.07,total
school_income,1713291.0,5617367.0,2002481,5847879,3845398.0,3041519.0,39.7,current
school_income,1679785.0,1365517.0,5259688,4843999,415689.0,27840312.0,15.89,prior
school_income,647485.0,750135.0,4492360,9744326,5251966.0,3707640.0,54.78,total
use_and_occupancy,2327270.0,2115652.0,9752048,14588325,4836277.0,31547952.0,23.61,current
use_and_occupancy,12325309.0,11731861.0,100154535,90754391,9400144.0,30045465.0,76.92,prior
use_and_occupancy,1115631.0,530847.0,6255659,4516827,1738832.0,344341.0,94.78,total
liquor,13440940.0,12262708.0,106410194,95271218,11138976.0,30389806.0,77.79,current
liquor,5613415.0,4856756.0,42425744,39262677,3163067.0,13174256.0,76.31,prior
liquor,896555.0,1038604.0,5072231,4650168,422063.0,527769.0,90.58,total
pilots,6509970.0,5895360.0,47497975,43912845,3585130.0,13702025.0,77.61,total
other_nontax,,,4619,4619,,,,total
total_revenue,160534085.0,169656389.0,817799152,762027041,55772111.0,119776848.0,87.22,total
