name,aug_fy19,aug_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6609432.0,5856306.0,12829004.0,12566532.0,262472.0,802419996.0,2.0,current
real_estate,5009783.0,4616891.0,9411513.0,9151154.0,260359.0,52017487.0,15.0,prior
real_estate,11619215.0,10473197.0,22240517.0,21717686.0,522831.0,854437483.0,3.0,total
school_income,,1001050.0,1960320.0,1026759.0,933561.0,1270680.0,61.0,current
school_income,606602.0,359324.0,1064660.0,847369.0,217291.0,37635340.0,3.0,prior
school_income,284447.0,260583.0,471044.0,509128.0,38084.0,3628956.0,11.0,total
use_and_occupancy,891049.0,619907.0,1535704.0,1356497.0,179207.0,41264296.0,4.0,current
use_and_occupancy,14483912.0,14763963.0,35933179.0,33729599.0,2203580.0,130890821.0,22.0,prior
use_and_occupancy,403182.0,491564.0,998727.0,1556443.0,557716.0,7801273.0,11.0,total
liquor,14887094.0,15255527.0,36931906.0,35286042.0,1645864.0,138692094.0,21.0,current
liquor,6373935.0,5950305.0,12813859.0,11496498.0,1317361.0,59386141.0,18.0,prior
liquor,358904.0,866631.0,732738.0,1676081.0,943343.0,7367262.0,9.0,total
other_nontax,6732839.0,6816936.0,13546597.0,13172579.0,374018.0,66753403.0,17.0,total
total_revenue,34130197.0,34166617.0,76215044.0,72559563.0,3655481.0,1102417956.0,6.0,total
