name,oct_fy17,oct_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4117137,4065413,19591715,19902460,-310745.0,630902285.0,3.01,current
real_estate,4501117,6312964,17805410,22758006,-4952596.0,52934590.0,25.17,prior
real_estate,8618254,10378377,37397125,42660466,-5263341.0,683836875.0,5.19,total
school_income,6037,6037,298171,289190,8981.0,4746829.0,5.91,current
school_income,670978,1471230,1207225,2418150,-1210925.0,34292775.0,3.4,prior
school_income,171275,762931,954117,1406475,-452358.0,3445883.0,21.68,total
use_and_occupancy,842253,2234161,2161342,3824625,-1663283.0,37738658.0,5.42,current
use_and_occupancy,10227855,10635404,46406684,47256148,-849464.0,85593316.0,35.16,prior
use_and_occupancy,1054883,418629,2110732,2338976,-228244.0,5389268.0,28.14,total
liquor,11282738,11054033,48517416,49595124,-1077708.0,90982584.0,34.78,current
liquor,5490334,5090776,20418250,18983254,1434996.0,39581750.0,34.03,prior
liquor,267493,295749,1764965,1469439,,,,total
pilots,5757827,5386525,22183215,20452693,1730522.0,43466785.0,33.79,total
other_nontax,4619,4619,4619,4619,,,,total
total_revenue,26511728,29063752,110561888,116826717,-6264829.0,860767112.0,11.38,total
