category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,133.4
opening_balance,1,758.8
tran,1,0.0
closing_balance,1,892.2
excess_of_receipts_over_disbursements,2,24.9
opening_balance,2,892.2
tran,2,0.0
closing_balance,2,917.1
excess_of_receipts_over_disbursements,3,65.2
opening_balance,3,917.1
tran,3,300.0
closing_balance,3,1282.3
excess_of_receipts_over_disbursements,4,-244.2
opening_balance,4,1282.3
tran,4,0.0
closing_balance,4,1038.1
excess_of_receipts_over_disbursements,5,46.0
opening_balance,5,1038.1
tran,5,0.0
closing_balance,5,1084.0
excess_of_receipts_over_disbursements,6,-155.6
opening_balance,6,1084.0
tran,6,0.0
closing_balance,6,928.4
excess_of_receipts_over_disbursements,7,-45.4
opening_balance,7,928.4
tran,7,0.0
closing_balance,7,883.0
excess_of_receipts_over_disbursements,8,61.2
opening_balance,8,883.0
tran,8,0.0
closing_balance,8,944.2
excess_of_receipts_over_disbursements,9,-329.4
opening_balance,9,944.2
tran,9,0.0
closing_balance,9,614.9
excess_of_receipts_over_disbursements,10,297.7
opening_balance,10,614.9
tran,10,0.0
closing_balance,10,912.6
excess_of_receipts_over_disbursements,11,47.2
opening_balance,11,912.6
tran,11,-300.0
closing_balance,11,659.8
excess_of_receipts_over_disbursements,12,-61.3
opening_balance,12,659.8
tran,12,0.0
closing_balance,12,598.4
