category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,-39.0
opening_balance,1,448.9
tran,1,0.0
closing_balance,1,409.9
excess_of_receipts_over_disbursements,2,-58.5
opening_balance,2,409.9
tran,2,0.0
closing_balance,2,351.5
excess_of_receipts_over_disbursements,3,-18.0
opening_balance,3,351.5
tran,3,0.0
closing_balance,3,333.4
excess_of_receipts_over_disbursements,4,-74.3
opening_balance,4,333.4
tran,4,0.0
closing_balance,4,259.1
excess_of_receipts_over_disbursements,5,-90.9
opening_balance,5,259.1
tran,5,130.0
closing_balance,5,298.2
excess_of_receipts_over_disbursements,6,-54.5
opening_balance,6,298.2
tran,6,0.0
closing_balance,6,243.8
excess_of_receipts_over_disbursements,7,29.6
opening_balance,7,243.8
tran,7,0.0
closing_balance,7,273.3
excess_of_receipts_over_disbursements,8,298.9
opening_balance,8,273.3
tran,8,0.0
closing_balance,8,572.3
excess_of_receipts_over_disbursements,9,-281.3
opening_balance,9,572.3
tran,9,0.0
closing_balance,9,290.9
excess_of_receipts_over_disbursements,10,69.7
opening_balance,10,290.9
tran,10,0.0
closing_balance,10,360.7
excess_of_receipts_over_disbursements,11,102.3
opening_balance,11,360.7
tran,11,-130.0
closing_balance,11,333.0
excess_of_receipts_over_disbursements,12,-41.3
opening_balance,12,333.0
tran,12,0.0
closing_balance,12,291.6
