category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,-105.1
opening_balance,1,447.2
tran,1,0.0
closing_balance,1,342.1
excess_of_receipts_over_disbursements,2,58.9
opening_balance,2,342.1
tran,2,0.0
closing_balance,2,401.0
excess_of_receipts_over_disbursements,3,-28.5
opening_balance,3,401.0
tran,3,0.0
closing_balance,3,372.5
excess_of_receipts_over_disbursements,4,-71.3
opening_balance,4,372.5
tran,4,175.0
closing_balance,4,476.2
excess_of_receipts_over_disbursements,5,1.6
opening_balance,5,476.2
tran,5,0.0
closing_balance,5,477.8
excess_of_receipts_over_disbursements,6,-44.4
opening_balance,6,477.8
tran,6,0.0
closing_balance,6,433.4
excess_of_receipts_over_disbursements,7,95.6
opening_balance,7,433.4
tran,7,0.0
closing_balance,7,528.9
excess_of_receipts_over_disbursements,8,269.3
opening_balance,8,528.9
tran,8,0.0
closing_balance,8,798.3
excess_of_receipts_over_disbursements,9,-291.1
opening_balance,9,798.3
tran,9,0.0
closing_balance,9,507.2
excess_of_receipts_over_disbursements,10,222.6
opening_balance,10,507.2
tran,10,0.0
closing_balance,10,729.8
excess_of_receipts_over_disbursements,11,-54.1
opening_balance,11,729.8
tran,11,-175.0
closing_balance,11,500.7
excess_of_receipts_over_disbursements,12,-28.1
opening_balance,12,500.7
tran,12,0.0
closing_balance,12,472.5
